game_id,game_date,3points,fg3a,minutes,fouls,player_id,player_name,team_id
22200941,2023-03-01,3,10,32,1,1630530,Trey Murphy III,1610612740
22200953,2023-03-03,3,9,38,2,1630530,Trey Murphy III,1610612740
22200976,2023-03-06,4,9,37,0,1630530,Trey Murphy III,1610612740
22200988,2023-03-08,3,5,38,2,1630530,Trey Murphy III,1610612740
22201011,2023-03-11,2,7,41,4,1630530,Trey Murphy III,1610612740
22201017,2023-03-12,9,14,30,2,1630530,Trey Murphy III,1610612740
22201030,2023-03-14,4,7,38,1,1630530,Trey Murphy III,1610612740
22201051,2023-03-17,4,10,37,2,1630530,Trey Murphy III,1610612740
22201067,2023-03-19,3,10,38,0,1630530,Trey Murphy III,1610612740
22201080,2023-03-21,3,9,31,1,1630530,Trey Murphy III,1610612740
22201095,2023-03-23,4,8,33,0,1630530,Trey Murphy III,1610612740
22201112,2023-03-25,10,12,37,3,1630530,Trey Murphy III,1610612740
22201127,2023-03-27,1,7,28,3,1630530,Trey Murphy III,1610612740
22201135,2023-03-28,4,6,38,3,1630530,Trey Murphy III,1610612740
22201147,2023-03-30,3,10,39,1,1630530,Trey Murphy III,1610612740
22201162,2023-04-01,2,5,39,2,1630530,Trey Murphy III,1610612740
22201185,2023-04-04,3,8,36,2,1630530,Trey Murphy III,1610612740
22201194,2023-04-05,7,13,46,3,1630530,Trey Murphy III,1610612740
22201209,2023-04-07,3,10,39,2,1630530,Trey Murphy III,1610612740
22201225,2023-04-09,1,4,40,2,1630530,Trey Murphy III,1610612740
22300278,2023-12-01,4,10,22,0,1630530,Trey Murphy III,1610612740
22301204,2023-12-04,3,8,30,1,1630530,Trey Murphy III,1610612740
22301230,2023-12-07,2,7,22,1,1630530,Trey Murphy III,1610612740
22300301,2023-12-11,1,5,24,0,1630530,Trey Murphy III,1610612740
22300311,2023-12-13,6,7,33,0,1630530,Trey Murphy III,1610612740
22300326,2023-12-15,1,5,25,2,1630530,Trey Murphy III,1610612740
22300345,2023-12-17,2,5,25,1,1630530,Trey Murphy III,1610612740
22300360,2023-12-19,0,1,21,2,1630530,Trey Murphy III,1610612740
22300375,2023-12-21,6,10,28,1,1630530,Trey Murphy III,1610612740
22300392,2023-12-23,3,7,34,2,1630530,Trey Murphy III,1610612740
22300410,2023-12-26,3,6,36,2,1630530,Trey Murphy III,1610612740
22300424,2023-12-28,2,7,23,2,1630530,Trey Murphy III,1610612740
22300486,2024-01-05,1,6,17,0,1630530,Trey Murphy III,1610612740
22300500,2024-01-07,3,6,24,1,1630530,Trey Murphy III,1610612740
22300525,2024-01-10,4,11,24,2,1630530,Trey Murphy III,1610612740
22300539,2024-01-12,2,8,28,0,1630530,Trey Murphy III,1610612740
22300556,2024-01-15,1,4,22,0,1630530,Trey Murphy III,1610612740
22300575,2024-01-17,5,12,24,2,1630530,Trey Murphy III,1610612740
22300588,2024-01-19,1,5,24,3,1630530,Trey Murphy III,1610612740
22300616,2024-01-23,2,10,25,2,1630530,Trey Murphy III,1610612740
22300640,2024-01-26,1,6,28,1,1630530,Trey Murphy III,1610612740
22300659,2024-01-29,3,10,28,3,1630530,Trey Murphy III,1610612740
22300679,2024-01-31,3,10,27,1,1630530,Trey Murphy III,1610612740
22300696,2024-02-02,1,2,27,0,1630530,Trey Murphy III,1610612740
22300718,2024-02-05,2,8,25,1,1630530,Trey Murphy III,1610612740
22300731,2024-02-07,3,8,23,2,1630530,Trey Murphy III,1610612740
22300747,2024-02-09,1,2,19,1,1630530,Trey Murphy III,1610612740
22300758,2024-02-10,5,8,30,1,1630530,Trey Murphy III,1610612740
22300766,2024-02-12,1,5,25,0,1630530,Trey Murphy III,1610612740
22300784,2024-02-14,3,9,31,3,1630530,Trey Murphy III,1610612740
22300798,2024-02-22,2,10,34,3,1630530,Trey Murphy III,1610612740
22300810,2024-02-23,1,7,32,0,1630530,Trey Murphy III,1610612740
22300823,2024-02-25,3,9,37,1,1630530,Trey Murphy III,1610612740
22300837,2024-02-27,6,11,36,3,1630530,Trey Murphy III,1610612740
22300843,2024-02-28,2,8,31,0,1630530,Trey Murphy III,1610612740
22300863,2024-03-01,6,12,28,2,1630530,Trey Murphy III,1610612740
22300890,2024-03-05,10,14,29,0,1630530,Trey Murphy III,1610612740
22300909,2024-03-08,2,7,28,1,1630530,Trey Murphy III,1610612740
22300925,2024-03-10,6,13,30,1,1630530,Trey Murphy III,1610612740
22300951,2024-03-13,1,6,28,3,1630530,Trey Murphy III,1610612740
22300964,2024-03-15,4,9,32,0,1630530,Trey Murphy III,1610612740
22300970,2024-03-16,4,8,35,0,1630530,Trey Murphy III,1610612740
22300993,2024-03-19,1,8,30,1,1630530,Trey Murphy III,1610612740
22301004,2024-03-21,3,5,29,0,1630530,Trey Murphy III,1610612740
22301013,2024-03-22,4,9,30,1,1630530,Trey Murphy III,1610612740
22301027,2024-03-24,0,9,32,1,1630530,Trey Murphy III,1610612740
22301046,2024-03-26,4,6,39,2,1630530,Trey Murphy III,1610612740
22301061,2024-03-28,2,9,39,1,1630530,Trey Murphy III,1610612740
22301074,2024-03-30,3,6,39,1,1630530,Trey Murphy III,1610612740
22301092,2024-04-01,4,10,32,0,1630530,Trey Murphy III,1610612740
22301109,2024-04-03,2,6,37,2,1630530,Trey Murphy III,1610612740
22301123,2024-04-05,1,6,35,4,1630530,Trey Murphy III,1610612740
22301138,2024-04-07,3,10,39,2,1630530,Trey Murphy III,1610612740
22301157,2024-04-09,5,12,38,1,1630530,Trey Murphy III,1610612740
22301170,2024-04-11,6,12,45,1,1630530,Trey Murphy III,1610612740
22301182,2024-04-12,6,9,42,0,1630530,Trey Murphy III,1610612740
22301195,2024-04-14,3,6,32,2,1630530,Trey Murphy III,1610612740
22400214,2024-11-11,2,6,26,3,1630530,Trey Murphy III,1610612740
22400221,2024-11-13,2,8,26,3,1630530,Trey Murphy III,1610612740
22400017,2024-11-15,2,8,30,2,1630530,Trey Murphy III,1610612740
22400024,2024-11-19,2,7,29,1,1630530,Trey Murphy III,1610612740
22400032,2024-11-22,5,9,38,2,1630530,Trey Murphy III,1610612740
22400279,2024-11-25,2,11,40,0,1630530,Trey Murphy III,1610612740
22400042,2024-11-29,2,8,38,1,1630530,Trey Murphy III,1610612740
22400308,2024-12-01,3,9,29,2,1630530,Trey Murphy III,1610612740
22400315,2024-12-02,3,9,37,5,1630530,Trey Murphy III,1610612740
22400330,2024-12-05,3,6,34,3,1630530,Trey Murphy III,1610612740
22400342,2024-12-07,3,6,34,4,1630530,Trey Murphy III,1610612740
22400354,2024-12-08,4,10,38,1,1630530,Trey Murphy III,1610612740
22401207,2024-12-12,3,9,40,3,1630530,Trey Murphy III,1610612740
22401216,2024-12-15,2,10,36,0,1630530,Trey Murphy III,1610612740
22400365,2024-12-19,4,6,36,4,1630530,Trey Murphy III,1610612740
22400384,2024-12-21,3,8,38,3,1630530,Trey Murphy III,1610612740
22400390,2024-12-22,3,7,27,2,1630530,Trey Murphy III,1610612740
22400416,2024-12-26,4,9,30,1,1630530,Trey Murphy III,1610612740
22400423,2024-12-27,5,12,39,4,1630530,Trey Murphy III,1610612740
22400444,2024-12-30,4,7,38,1,1630530,Trey Murphy III,1610612740
22400457,2025-01-01,5,15,39,3,1630530,Trey Murphy III,1610612740
22400472,2025-01-03,2,8,35,2,1630530,Trey Murphy III,1610612740
22400489,2025-01-05,4,10,29,2,1630530,Trey Murphy III,1610612740
22400542,2025-01-12,5,10,39,4,1630530,Trey Murphy III,1610612740
22400557,2025-01-14,2,13,37,1,1630530,Trey Murphy III,1610612740
22400566,2025-01-15,2,6,38,2,1630530,Trey Murphy III,1610612740
22400581,2025-01-17,2,6,36,5,1630530,Trey Murphy III,1610612740
22400605,2025-01-20,4,10,45,4,1630530,Trey Murphy III,1610612740
22200945,2023-03-02,5,12,32,1,1629673,Jordan Poole,1610612764
22200953,2023-03-03,0,5,34,2,1629673,Jordan Poole,1610612764
22200964,2023-03-05,3,10,28,1,1629673,Jordan Poole,1610612764
22200982,2023-03-07,1,7,32,2,1629673,Jordan Poole,1610612764
22200996,2023-03-09,2,5,34,1,1629673,Jordan Poole,1610612764
22201012,2023-03-11,2,5,25,1,1629673,Jordan Poole,1610612764
22201025,2023-03-13,4,8,31,3,1629673,Jordan Poole,1610612764
22201041,2023-03-15,3,5,25,3,1629673,Jordan Poole,1610612764
22201048,2023-03-17,2,8,24,3,1629673,Jordan Poole,1610612764
22201061,2023-03-18,2,3,30,5,1629673,Jordan Poole,1610612764
22201074,2023-03-20,1,6,26,0,1629673,Jordan Poole,1610612764
22201086,2023-03-22,0,4,26,2,1629673,Jordan Poole,1610612764
22201103,2023-03-24,6,11,32,0,1629673,Jordan Poole,1610612764
22201121,2023-03-26,3,8,31,2,1629673,Jordan Poole,1610612764
22201135,2023-03-28,2,6,29,1,1629673,Jordan Poole,1610612764
22201158,2023-03-31,6,13,27,4,1629673,Jordan Poole,1610612764
22201175,2023-04-02,0,3,20,4,1629673,Jordan Poole,1610612764
22201187,2023-04-04,5,12,31,3,1629673,Jordan Poole,1610612764
22201211,2023-04-07,0,6,19,4,1629673,Jordan Poole,1610612764
22201230,2023-04-09,4,5,17,3,1629673,Jordan Poole,1610612764
22300064,2023-10-25,0,6,26,1,1629673,Jordan Poole,1610612764
22300089,2023-10-28,4,12,36,2,1629673,Jordan Poole,1610612764
22300103,2023-10-30,1,5,25,3,1629673,Jordan Poole,1610612764
22300117,2023-11-01,2,6,20,1,1629673,Jordan Poole,1610612764
22300003,2023-11-03,3,4,28,3,1629673,Jordan Poole,1610612764
22300148,2023-11-06,4,9,31,4,1629673,Jordan Poole,1610612764
22300157,2023-11-08,1,5,20,2,1629673,Jordan Poole,1610612764
22300009,2023-11-10,1,5,31,4,1629673,Jordan Poole,1610612764
22300178,2023-11-12,2,8,32,6,1629673,Jordan Poole,1610612764
22300189,2023-11-13,2,6,35,5,1629673,Jordan Poole,1610612764
22300192,2023-11-15,2,7,32,4,1629673,Jordan Poole,1610612764
22300028,2023-11-17,0,6,29,2,1629673,Jordan Poole,1610612764
22300219,2023-11-20,3,9,33,4,1629673,Jordan Poole,1610612764
22300225,2023-11-22,4,11,33,1,1629673,Jordan Poole,1610612764
22300049,2023-11-24,1,6,34,5,1629673,Jordan Poole,1610612764
22300253,2023-11-27,0,2,25,3,1629673,Jordan Poole,1610612764
22300259,2023-11-29,4,7,26,3,1629673,Jordan Poole,1610612764
22300274,2023-12-01,0,5,30,5,1629673,Jordan Poole,1610612764
22301208,2023-12-06,3,5,32,3,1629673,Jordan Poole,1610612764
22301219,2023-12-08,0,2,24,3,1629673,Jordan Poole,1610612764
22300295,2023-12-11,1,3,26,1,1629673,Jordan Poole,1610612764
22300311,2023-12-13,1,5,31,2,1629673,Jordan Poole,1610612764
22300328,2023-12-15,3,4,32,4,1629673,Jordan Poole,1610612764
22300347,2023-12-17,2,9,32,4,1629673,Jordan Poole,1610612764
22300358,2023-12-18,8,13,29,4,1629673,Jordan Poole,1610612764
22300381,2023-12-21,0,4,34,2,1629673,Jordan Poole,1610612764
22300386,2023-12-22,3,12,27,3,1629673,Jordan Poole,1610612764
22300407,2023-12-26,6,11,33,3,1629673,Jordan Poole,1610612764
22300416,2023-12-27,1,7,28,1,1629673,Jordan Poole,1610612764
22300430,2023-12-29,1,4,25,4,1629673,Jordan Poole,1610612764
22300445,2023-12-31,1,7,29,3,1629673,Jordan Poole,1610612764
22300465,2024-01-03,2,4,23,3,1629673,Jordan Poole,1610612764
22300482,2024-01-05,0,2,23,4,1629673,Jordan Poole,1610612764
22300494,2024-01-06,1,5,30,3,1629673,Jordan Poole,1610612764
22300508,2024-01-08,4,8,29,5,1629673,Jordan Poole,1610612764
22300520,2024-01-10,2,7,34,3,1629673,Jordan Poole,1610612764
22300543,2024-01-13,2,6,26,1,1629673,Jordan Poole,1610612764
22300558,2024-01-15,2,7,32,3,1629673,Jordan Poole,1610612764
22300579,2024-01-18,2,9,34,1,1629673,Jordan Poole,1610612764
22300594,2024-01-20,0,3,29,4,1629673,Jordan Poole,1610612764
22300602,2024-01-21,1,4,28,4,1629673,Jordan Poole,1610612764
22300620,2024-01-24,1,4,28,3,1629673,Jordan Poole,1610612764
22300628,2024-01-25,3,7,28,5,1629673,Jordan Poole,1610612764
22300642,2024-01-27,3,6,29,1,1629673,Jordan Poole,1610612764
22300665,2024-01-29,1,5,33,2,1629673,Jordan Poole,1610612764
22300689,2024-02-02,2,14,33,3,1629673,Jordan Poole,1610612764
22300705,2024-02-04,0,3,20,3,1629673,Jordan Poole,1610612764
22300728,2024-02-07,0,4,25,6,1629673,Jordan Poole,1610612764
22300743,2024-02-09,3,10,37,5,1629673,Jordan Poole,1610612764
22300753,2024-02-10,2,4,29,4,1629673,Jordan Poole,1610612764
22300768,2024-02-12,1,6,27,4,1629673,Jordan Poole,1610612764
22300784,2024-02-14,5,10,35,5,1629673,Jordan Poole,1610612764
22300800,2024-02-22,3,9,30,3,1629673,Jordan Poole,1610612764
22300809,2024-02-23,2,8,23,4,1629673,Jordan Poole,1610612764
22300820,2024-02-25,6,13,38,6,1629673,Jordan Poole,1610612764
22300834,2024-02-27,2,8,29,3,1629673,Jordan Poole,1610612764
22300856,2024-02-29,5,12,38,4,1629673,Jordan Poole,1610612764
22300865,2024-03-01,1,4,21,4,1629673,Jordan Poole,1610612764
22300882,2024-03-04,6,10,29,2,1629673,Jordan Poole,1610612764
22300894,2024-03-06,4,12,32,4,1629673,Jordan Poole,1610612764
22300910,2024-03-08,2,10,34,2,1629673,Jordan Poole,1610612764
22300926,2024-03-10,2,5,23,5,1629673,Jordan Poole,1610612764
22300940,2024-03-12,2,6,27,2,1629673,Jordan Poole,1610612764
22300957,2024-03-14,5,12,32,4,1629673,Jordan Poole,1610612764
22300971,2024-03-16,3,6,23,0,1629673,Jordan Poole,1610612764
22300980,2024-03-17,3,6,23,2,1629673,Jordan Poole,1610612764
22300992,2024-03-19,2,6,28,4,1629673,Jordan Poole,1610612764
22301005,2024-03-21,1,4,36,2,1629673,Jordan Poole,1610612764
22301022,2024-03-23,2,8,38,3,1629673,Jordan Poole,1610612764
22301037,2024-03-25,4,12,29,4,1629673,Jordan Poole,1610612764
22301050,2024-03-27,5,12,45,4,1629673,Jordan Poole,1610612764
22301065,2024-03-29,1,8,37,3,1629673,Jordan Poole,1610612764
22301081,2024-03-31,4,12,34,3,1629673,Jordan Poole,1610612764
22301095,2024-04-02,1,6,35,3,1629673,Jordan Poole,1610612764
22301103,2024-04-03,5,9,34,1,1629673,Jordan Poole,1610612764
22301117,2024-04-05,3,10,35,1,1629673,Jordan Poole,1610612764
22301137,2024-04-07,4,10,40,2,1629673,Jordan Poole,1610612764
22301152,2024-04-09,5,13,33,2,1629673,Jordan Poole,1610612764
22400073,2024-10-24,6,11,32,3,1629673,Jordan Poole,1610612764
22400090,2024-10-26,4,7,24,2,1629673,Jordan Poole,1610612764
22400103,2024-10-28,6,8,33,3,1629673,Jordan Poole,1610612764
22400121,2024-10-30,4,9,32,4,1629673,Jordan Poole,1610612764
22400147,2024-11-02,2,8,31,4,1629673,Jordan Poole,1610612764
22400155,2024-11-04,2,10,34,3,1629673,Jordan Poole,1610612764
22400191,2024-11-08,2,4,23,3,1629673,Jordan Poole,1610612764
22400204,2024-11-10,3,10,31,4,1629673,Jordan Poole,1610612764
22400213,2024-11-11,1,5,34,3,1629673,Jordan Poole,1610612764
22400224,2024-11-13,6,9,33,5,1629673,Jordan Poole,1610612764
22400012,2024-11-15,4,9,29,5,1629673,Jordan Poole,1610612764
22400237,2024-11-17,3,5,27,4,1629673,Jordan Poole,1610612764
