game_id,game_date,3points,fg3a,minutes,fouls,player_id,player_name,team_id
22200940,2023-03-01,1,7,36,6,1629652,Luguentz Dort,1610612760
22200951,2023-03-03,4,9,34,2,1629652,Luguentz Dort,1610612760
22200968,2023-03-05,0,6,31,4,1629652,Luguentz Dort,1610612760
22200982,2023-03-07,2,5,36,5,1629652,Luguentz Dort,1610612760
22200990,2023-03-08,1,5,20,2,1629652,Luguentz Dort,1610612760
22201011,2023-03-11,1,5,38,4,1629652,Luguentz Dort,1610612760
22201018,2023-03-12,1,5,30,3,1629652,Luguentz Dort,1610612760
22201031,2023-03-14,6,11,35,1,1629652,Luguentz Dort,1610612760
22201044,2023-03-16,1,6,31,2,1629652,Luguentz Dort,1610612760
22201064,2023-03-19,4,6,33,5,1629652,Luguentz Dort,1610612760
22201082,2023-03-21,1,8,38,4,1629652,Luguentz Dort,1610612760
22201096,2023-03-23,1,4,30,4,1629652,Luguentz Dort,1610612760
22201106,2023-03-24,5,8,31,4,1629652,Luguentz Dort,1610612760
22201120,2023-03-26,0,6,29,4,1629652,Luguentz Dort,1610612760
22201134,2023-03-28,1,4,33,5,1629652,Luguentz Dort,1610612760
22201142,2023-03-29,3,7,38,3,1629652,Luguentz Dort,1610612760
22201149,2023-03-31,0,2,37,4,1629652,Luguentz Dort,1610612760
22201172,2023-04-02,2,7,39,4,1629652,Luguentz Dort,1610612760
22201187,2023-04-04,0,6,36,4,1629652,Luguentz Dort,1610612760
22201200,2023-04-06,0,3,19,1,1629652,Luguentz Dort,1610612760
22300070,2023-10-25,2,5,33,1,1629652,Luguentz Dort,1610612760
22300081,2023-10-27,3,4,39,5,1629652,Luguentz Dort,1610612760
22300095,2023-10-29,1,5,21,2,1629652,Luguentz Dort,1610612760
22300109,2023-10-30,1,4,26,1,1629652,Luguentz Dort,1610612760
22300121,2023-11-01,3,6,30,4,1629652,Luguentz Dort,1610612760
22300005,2023-11-03,6,6,30,4,1629652,Luguentz Dort,1610612760
22300155,2023-11-06,2,5,32,1,1629652,Luguentz Dort,1610612760
22300167,2023-11-08,3,5,36,3,1629652,Luguentz Dort,1610612760
22300016,2023-11-10,2,3,25,4,1629652,Luguentz Dort,1610612760
22300185,2023-11-12,0,5,33,5,1629652,Luguentz Dort,1610612760
22300021,2023-11-14,1,3,24,2,1629652,Luguentz Dort,1610612760
22300201,2023-11-16,1,3,24,2,1629652,Luguentz Dort,1610612760
22300207,2023-11-18,1,4,27,2,1629652,Luguentz Dort,1610612760
22300215,2023-11-19,2,3,23,1,1629652,Luguentz Dort,1610612760
22300234,2023-11-22,0,4,27,6,1629652,Luguentz Dort,1610612760
22300239,2023-11-25,1,3,25,3,1629652,Luguentz Dort,1610612760
22300058,2023-11-28,1,2,25,5,1629652,Luguentz Dort,1610612760
22300271,2023-11-30,2,5,28,2,1629652,Luguentz Dort,1610612760
22300287,2023-12-02,1,6,33,4,1629652,Luguentz Dort,1610612760
22301212,2023-12-06,0,3,15,1,1629652,Luguentz Dort,1610612760
22301222,2023-12-08,0,3,39,4,1629652,Luguentz Dort,1610612760
22300324,2023-12-14,3,5,32,4,1629652,Luguentz Dort,1610612760
22300340,2023-12-16,2,3,26,4,1629652,Luguentz Dort,1610612760
22300355,2023-12-18,3,6,21,2,1629652,Luguentz Dort,1610612760
22300379,2023-12-21,3,6,31,2,1629652,Luguentz Dort,1610612760
22300397,2023-12-23,2,6,30,2,1629652,Luguentz Dort,1610612760
22300411,2023-12-26,5,6,33,4,1629652,Luguentz Dort,1610612760
22300419,2023-12-27,1,4,27,4,1629652,Luguentz Dort,1610612760
22300435,2023-12-29,0,3,32,3,1629652,Luguentz Dort,1610612760
22300447,2023-12-31,4,5,30,4,1629652,Luguentz Dort,1610612760
22300462,2024-01-02,1,7,37,2,1629652,Luguentz Dort,1610612760
