index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
2459,0022200001,1610612738,1610612755,0.429,0.45,106.0,106.0,1.2,0.4,107.4,92.3,92.3,107.4
2458,0022200001,1610612755,1610612738,0.45,0.429,106.0,106.0,0.4,1.2,92.3,107.4,107.4,92.3
2457,0022200002,1610612744,1610612747,0.354,0.354,120.0,120.0,0.67,0.57,73.3,83.3,83.3,73.3
2456,0022200002,1610612747,1610612744,0.354,0.354,120.0,120.0,0.57,0.67,83.3,73.3,73.3,83.3
2436,0022200003,1610612753,1610612765,0.632,0.318,98.0,98.0,0.8,1.5,70.8,112.0,112.0,70.8
2437,0022200003,1610612765,1610612753,0.318,0.632,98.0,98.0,1.5,0.8,112.0,70.8,70.8,112.0
2438,0022200004,1610612764,1610612754,0.6,0.457,112.0,112.0,3.0,0.5,89.3,128.6,128.6,89.3
2439,0022200004,1610612754,1610612764,0.457,0.6,112.0,112.0,0.5,3.0,128.6,89.3,89.3,128.6
2451,0022200005,1610612737,1610612745,0.44,0.405,110.0,110.0,2.5,0.57,74.1,92.9,92.9,74.1
2450,0022200005,1610612745,1610612737,0.405,0.44,110.0,110.0,0.57,2.5,92.9,74.1,74.1,92.9
2449,0022200006,1610612751,1610612740,0.3,0.554,110.0,110.0,0.33,1.17,118.5,50.0,50.0,118.5
2448,0022200006,1610612740,1610612751,0.554,0.3,110.0,110.0,1.17,0.33,50.0,118.5,118.5,50.0
2435,0022200007,1610612741,1610612748,0.523,0.636,106.0,106.0,1.5,4.0,122.2,107.7,107.7,122.2
2434,0022200007,1610612748,1610612741,0.636,0.523,106.0,106.0,4.0,1.5,107.7,122.2,122.2,107.7
2455,0022200008,1610612739,1610612761,0.432,0.526,108.0,108.0,0.67,0.6,103.7,81.5,81.5,103.7
2454,0022200008,1610612761,1610612739,0.526,0.432,108.0,108.0,0.6,0.67,81.5,103.7,103.7,81.5
2433,0022200009,1610612763,1610612752,0.357,0.44,100.0,100.0,3.0,2.0,92.0,100.0,100.0,92.0
2432,0022200009,1610612752,1610612763,0.44,0.357,100.0,100.0,2.0,3.0,100.0,92.0,92.0,100.0
2442,0022200010,1610612760,1610612750,0.357,0.604,108.0,108.0,1.0,2.5,129.6,81.5,81.5,129.6
2443,0022200010,1610612750,1610612760,0.604,0.357,108.0,108.0,2.5,1.0,81.5,129.6,129.6,81.5
2446,0022200011,1610612759,1610612766,0.435,0.586,110.0,110.0,0.43,8.0,135.7,81.5,81.5,135.7
2447,0022200011,1610612766,1610612759,0.586,0.435,110.0,110.0,8.0,0.43,81.5,135.7,135.7,81.5
2453,0022200012,1610612743,1610612762,0.568,0.692,112.0,112.0,2.0,1.5,132.1,107.1,107.1,132.1
2452,0022200012,1610612762,1610612743,0.692,0.568,112.0,112.0,1.5,2.0,107.1,132.1,132.1,107.1
2444,0022200013,1610612756,1610612742,0.458,0.7,100.0,100.0,1.33,2.0,128.0,96.0,96.0,128.0
2445,0022200013,1610612742,1610612756,0.7,0.458,100.0,100.0,2.0,1.33,96.0,128.0,128.0,96.0
2441,0022200014,1610612757,1610612758,0.525,0.472,100.0,100.0,7.0,1.5,92.0,128.0,128.0,92.0
2440,0022200014,1610612758,1610612757,0.472,0.525,100.0,100.0,1.5,7.0,128.0,92.0,92.0,128.0
2429,0022200015,1610612749,1610612755,0.69,0.477,92.0,92.0,2.67,2.5,104.3,130.4,130.4,104.3
2428,0022200015,1610612755,1610612749,0.477,0.69,92.0,92.0,2.5,2.67,130.4,104.3,104.3,130.4
2431,0022200016,1610612746,1610612747,0.563,0.365,112.0,112.0,2.0,3.5,82.1,125.0,125.0,82.1
2430,0022200016,1610612747,1610612746,0.365,0.563,112.0,112.0,3.5,2.0,125.0,82.1,82.1,125.0
2414,0022200017,1610612740,1610612766,0.667,0.48,108.0,108.0,3.0,0.83,88.9,129.6,129.6,88.9
2415,0022200017,1610612766,1610612740,0.48,0.667,108.0,108.0,0.83,3.0,129.6,88.9,88.9,129.6
2421,0022200018,1610612754,1610612759,0.477,0.63,108.0,108.0,1.17,5.5,133.3,96.3,96.3,133.3
2420,0022200018,1610612759,1610612754,0.63,0.477,108.0,108.0,5.5,1.17,96.3,133.3,133.3,96.3
2425,0022200019,1610612741,1610612764,0.522,0.595,96.0,96.0,6.0,1.75,108.3,125.0,125.0,108.3
2424,0022200019,1610612764,1610612741,0.595,0.522,96.0,96.0,1.75,6.0,125.0,108.3,108.3,125.0
2407,0022200020,1610612737,1610612753,0.341,0.5,106.0,106.0,0.83,1.33,100.0,73.1,73.1,100.0
2406,0022200020,1610612753,1610612737,0.5,0.341,106.0,106.0,1.33,0.83,73.1,100.0,100.0,73.1
2409,0022200021,1610612751,1610612761,0.5,0.5,94.0,94.0,6.0,1.67,100.0,121.7,121.7,100.0
2408,0022200021,1610612761,1610612751,0.5,0.5,94.0,94.0,1.67,6.0,121.7,100.0,100.0,121.7
2422,0022200022,1610612748,1610612738,0.44,0.571,94.0,94.0,2.67,1.33,130.4,91.7,91.7,130.4
2423,0022200022,1610612738,1610612748,0.571,0.44,94.0,94.0,1.33,2.67,91.7,130.4,130.4,91.7
2427,0022200023,1610612765,1610612752,0.417,0.63,104.0,104.0,2.0,1.75,115.4,76.9,76.9,115.4
2426,0022200023,1610612752,1610612765,0.63,0.417,104.0,104.0,1.75,2.0,76.9,115.4,115.4,76.9
2411,0022200024,1610612745,1610612763,0.625,0.5,112.0,112.0,0.8,1.5,92.9,114.3,114.3,92.9
