index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE
2459,0022200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,2022-10-18
2458,0022200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,2022-10-18
2457,0022200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,2022-10-18
2456,0022200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,2022-10-18
2446,0022200004,1610612764,WAS,1610612754,IND,2022-23,36,25,2022-10-19
2435,0022200009,1610612752,NYK,1610612763,MEM,2022-23,23,25,2022-10-19
2436,0022200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,2022-10-19
2437,0022200012,1610612743,DEN,1610612762,UTA,2022-23,30,37,2022-10-19
2438,0022200011,1610612766,CHA,1610612759,SAS,2022-23,38,22,2022-10-19
2439,0022200011,1610612759,SAS,1610612766,CHA,2022-23,22,38,2022-10-19
2440,0022200008,1610612761,TOR,1610612739,CLE,2022-23,28,22,2022-10-19
2441,0022200008,1610612739,CLE,1610612761,TOR,2022-23,22,28,2022-10-19
2442,0022200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,2022-10-19
2443,0022200013,1610612742,DAL,1610612756,PHX,2022-23,32,24,2022-10-19
2444,0022200003,1610612765,DET,1610612753,ORL,2022-23,17,28,2022-10-19
2447,0022200004,1610612754,IND,1610612764,WAS,2022-23,25,36,2022-10-19
2432,0022200006,1610612740,NOP,1610612751,BKN,2022-23,32,14,2022-10-19
2434,0022200009,1610612763,MEM,1610612752,NYK,2022-23,25,23,2022-10-19
2448,0022200010,1610612760,OKC,1610612750,MIN,2022-23,22,35,2022-10-19
2449,0022200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,2022-10-19
2450,0022200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,2022-10-19
2451,0022200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,2022-10-19
2452,0022200014,1610612757,POR,1610612758,SAC,2022-23,32,23,2022-10-19
2453,0022200014,1610612758,SAC,1610612757,POR,2022-23,23,32,2022-10-19
2454,0022200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,2022-10-19
2455,0022200007,1610612748,MIA,1610612741,CHI,2022-23,33,28,2022-10-19
2445,0022200003,1610612753,ORL,1610612765,DET,2022-23,28,17,2022-10-19
2433,0022200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,2022-10-19
2429,0022200015,1610612755,PHI,1610612749,MIL,2022-23,24,30,2022-10-20
2430,0022200016,1610612746,LAC,1610612747,LAL,2022-23,35,23,2022-10-20
2428,0022200015,1610612749,MIL,1610612755,PHI,2022-23,30,24,2022-10-20
2431,0022200016,1610612747,LAL,1610612746,LAC,2022-23,23,35,2022-10-20
2427,0022200027,1610612756,PHX,1610612757,POR,2022-23,28,25,2022-10-21
2406,0022200021,1610612761,TOR,1610612751,BKN,2022-23,24,28,2022-10-21
2407,0022200021,1610612751,BKN,1610612761,TOR,2022-23,28,24,2022-10-21
2408,0022200018,1610612759,SAS,1610612754,IND,2022-23,36,26,2022-10-21
2409,0022200018,1610612754,IND,1610612759,SAS,2022-23,26,36,2022-10-21
2410,0022200024,1610612763,MEM,1610612745,HOU,2022-23,26,32,2022-10-21
2411,0022200024,1610612745,HOU,1610612763,MEM,2022-23,32,26,2022-10-21
2412,0022200025,1610612750,MIN,1610612762,UTA,2022-23,41,26,2022-10-21
2413,0022200025,1610612762,UTA,1610612750,MIN,2022-23,26,41,2022-10-21
2414,0022200026,1610612743,DEN,1610612744,GSW,2022-23,40,34,2022-10-21
2426,0022200027,1610612757,POR,1610612756,PHX,2022-23,25,28,2022-10-21
2416,0022200019,1610612741,CHI,1610612764,WAS,2022-23,30,26,2022-10-21
2415,0022200026,1610612744,GSW,1610612743,DEN,2022-23,34,40,2022-10-21
2425,0022200023,1610612752,NYK,1610612765,DET,2022-23,30,20,2022-10-21
2423,0022200017,1610612766,CHA,1610612740,NOP,2022-23,24,35,2022-10-21
2422,0022200017,1610612740,NOP,1610612766,CHA,2022-23,35,24,2022-10-21
2424,0022200023,1610612765,DET,1610612752,NYK,2022-23,20,30,2022-10-21
2420,0022200020,1610612753,ORL,1610612737,ATL,2022-23,27,19,2022-10-21
2419,0022200022,1610612748,MIA,1610612738,BOS,2022-23,22,30,2022-10-21
2418,0022200022,1610612738,BOS,1610612748,MIA,2022-23,30,22,2022-10-21
2417,0022200019,1610612764,WAS,1610612741,CHI,2022-23,26,30,2022-10-21
2421,0022200020,1610612737,ATL,1610612753,ORL,2022-23,19,27,2022-10-21
2394,0022200035,1610612743,DEN,1610612760,OKC,2022-23,28,29,2022-10-22
2388,0022200031,1610612748,MIA,1610612761,TOR,2022-23,38,33,2022-10-22
2389,0022200031,1610612761,TOR,1610612748,MIA,2022-23,33,38,2022-10-22
2391,0022200029,1610612765,DET,1610612754,IND,2022-23,35,25,2022-10-22
2392,0022200036,1610612758,SAC,1610612746,LAC,2022-23,26,29,2022-10-22
2393,0022200036,1610612746,LAC,1610612758,SAC,2022-23,29,26,2022-10-22
2395,0022200035,1610612760,OKC,1610612743,DEN,2022-23,29,28,2022-10-22
2390,0022200029,1610612754,IND,1610612765,DET,2022-23,25,35,2022-10-22
2397,0022200028,1610612759,SAS,1610612755,PHI,2022-23,19,25,2022-10-22
2398,0022200030,1610612738,BOS,1610612753,ORL,2022-23,36,33,2022-10-22
2399,0022200030,1610612753,ORL,1610612738,BOS,2022-23,33,36,2022-10-22
2400,0022200032,1610612739,CLE,1610612741,CHI,2022-23,34,25,2022-10-22
2401,0022200032,1610612741,CHI,1610612739,CLE,2022-23,25,34,2022-10-22
2405,0022200033,1610612749,MIL,1610612745,HOU,2022-23,41,23,2022-10-22
2402,0022200034,1610612763,MEM,1610612742,DAL,2022-23,17,39,2022-10-22
2403,0022200034,1610612742,DAL,1610612763,MEM,2022-23,39,17,2022-10-22
2396,0022200028,1610612755,PHI,1610612759,SAS,2022-23,25,19,2022-10-22
2404,0022200033,1610612745,HOU,1610612749,MIL,2022-23,23,41,2022-10-22
2374,0022200037,1610612747,LAL,1610612757,POR,2022-23,24,32,2022-10-23
2376,0022200042,1610612744,GSW,1610612758,SAC,2022-23,39,36,2022-10-23
2377,0022200042,1610612758,SAC,1610612744,GSW,2022-23,36,39,2022-10-23
2378,0022200040,1610612740,NOP,1610612762,UTA,2022-23,24,26,2022-10-23
2379,0022200040,1610612762,UTA,1610612740,NOP,2022-23,26,24,2022-10-23
2375,0022200037,1610612757,POR,1610612747,LAL,2022-23,32,24,2022-10-23
2381,0022200041,1610612760,OKC,1610612750,MIN,2022-23,18,31,2022-10-23
2380,0022200041,1610612750,MIN,1610612760,OKC,2022-23,31,18,2022-10-23
2387,0022200038,1610612737,ATL,1610612766,CHA,2022-23,30,22,2022-10-23
2386,0022200038,1610612766,CHA,1610612737,ATL,2022-23,22,30,2022-10-23
2384,0022200043,1610612756,PHX,1610612746,LAC,2022-23,33,18,2022-10-23
2383,0022200039,1610612739,CLE,1610612764,WAS,2022-23,30,31,2022-10-23
2382,0022200039,1610612764,WAS,1610612739,CLE,2022-23,31,30,2022-10-23
2385,0022200043,1610612746,LAC,1610612756,PHX,2022-23,18,33,2022-10-23
2358,0022200051,1610612757,POR,1610612743,DEN,2022-23,23,31,2022-10-24
2359,0022200051,1610612743,DEN,1610612757,POR,2022-23,31,23,2022-10-24
2360,0022200044,1610612755,PHI,1610612754,IND,2022-23,33,23,2022-10-24
2361,0022200044,1610612754,IND,1610612755,PHI,2022-23,23,33,2022-10-24
2362,0022200046,1610612753,ORL,1610612752,NYK,2022-23,28,34,2022-10-24
2363,0022200046,1610612752,NYK,1610612753,ORL,2022-23,34,28,2022-10-24
2364,0022200045,1610612761,TOR,1610612748,MIA,2022-23,27,23,2022-10-24
2366,0022200047,1610612741,CHI,1610612738,BOS,2022-23,30,39,2022-10-24
2368,0022200049,1610612763,MEM,1610612751,BKN,2022-23,39,34,2022-10-24
2369,0022200049,1610612751,BKN,1610612763,MEM,2022-23,34,39,2022-10-24
2370,0022200050,1610612759,SAS,1610612750,MIN,2022-23,39,28,2022-10-24
2371,0022200050,1610612750,MIN,1610612759,SAS,2022-23,28,39,2022-10-24
2372,0022200048,1610612745,HOU,1610612762,UTA,2022-23,21,18,2022-10-24
2373,0022200048,1610612762,UTA,1610612745,HOU,2022-23,18,21,2022-10-24
2365,0022200045,1610612748,MIA,1610612761,TOR,2022-23,23,27,2022-10-24
2367,0022200047,1610612738,BOS,1610612741,CHI,2022-23,39,30,2022-10-24
2351,0022200053,1610612740,NOP,1610612742,DAL,2022-23,40,31,2022-10-25
2350,0022200053,1610612742,DAL,1610612740,NOP,2022-23,31,40,2022-10-25
2352,0022200054,1610612760,OKC,1610612746,LAC,2022-23,23,18,2022-10-25
2354,0022200055,1610612756,PHX,1610612744,GSW,2022-23,37,29,2022-10-25
2355,0022200055,1610612744,GSW,1610612756,PHX,2022-23,29,37,2022-10-25
2356,0022200052,1610612764,WAS,1610612765,DET,2022-23,28,25,2022-10-25
2353,0022200054,1610612746,LAC,1610612760,OKC,2022-23,18,23,2022-10-25
2357,0022200052,1610612765,DET,1610612764,WAS,2022-23,25,28,2022-10-25
2330,0022200063,1610612762,UTA,1610612745,HOU,2022-23,22,21,2022-10-26
2331,0022200063,1610612745,HOU,1610612762,UTA,2022-23,21,22,2022-10-26
2332,0022200057,1610612737,ATL,1610612765,DET,2022-23,36,32,2022-10-26
2333,0022200057,1610612765,DET,1610612737,ATL,2022-23,32,36,2022-10-26
2334,0022200059,1610612761,TOR,1610612755,PHI,2022-23,35,27,2022-10-26
2335,0022200059,1610612755,PHI,1610612761,TOR,2022-23,27,35,2022-10-26
2336,0022200060,1610612749,MIL,1610612751,BKN,2022-23,25,20,2022-10-26
2338,0022200065,1610612748,MIA,1610612757,POR,2022-23,28,31,2022-10-26
2337,0022200060,1610612751,BKN,1610612749,MIL,2022-23,20,25,2022-10-26
2340,0022200056,1610612739,CLE,1610612753,ORL,2022-23,30,24,2022-10-26
2341,0022200056,1610612753,ORL,1610612739,CLE,2022-23,24,30,2022-10-26
2342,0022200062,1610612759,SAS,1610612750,MIN,2022-23,28,39,2022-10-26
2343,0022200062,1610612750,MIN,1610612759,SAS,2022-23,39,28,2022-10-26
2344,0022200061,1610612754,IND,1610612741,CHI,2022-23,27,38,2022-10-26
2345,0022200061,1610612741,CHI,1610612754,IND,2022-23,38,27,2022-10-26
2346,0022200058,1610612766,CHA,1610612752,NYK,2022-23,30,32,2022-10-26
2347,0022200058,1610612752,NYK,1610612766,CHA,2022-23,32,30,2022-10-26
2348,0022200064,1610612743,DEN,1610612747,LAL,2022-23,26,22,2022-10-26
2349,0022200064,1610612747,LAL,1610612743,DEN,2022-23,22,26,2022-10-26
2339,0022200065,1610612757,POR,1610612748,MIA,2022-23,31,28,2022-10-26
2322,0022200066,1610612751,BKN,1610612742,DAL,2022-23,23,30,2022-10-27
2323,0022200066,1610612742,DAL,1610612751,BKN,2022-23,30,23,2022-10-27
2324,0022200067,1610612760,OKC,1610612746,LAC,2022-23,34,24,2022-10-27
2325,0022200067,1610612746,LAC,1610612760,OKC,2022-23,24,34,2022-10-27
2326,0022200069,1610612758,SAC,1610612763,MEM,2022-23,28,32,2022-10-27
2327,0022200069,1610612763,MEM,1610612758,SAC,2022-23,32,28,2022-10-27
2328,0022200068,1610612748,MIA,1610612744,GSW,2022-23,30,31,2022-10-27
2329,0022200068,1610612744,GSW,1610612748,MIA,2022-23,31,30,2022-10-27
2301,0022200078,1610612743,DEN,1610612762,UTA,2022-23,35,25,2022-10-28
2302,0022200071,1610612753,ORL,1610612766,CHA,2022-23,22,19,2022-10-28
2303,0022200071,1610612766,CHA,1610612753,ORL,2022-23,19,22,2022-10-28
2304,0022200073,1610612755,PHI,1610612761,TOR,2022-23,28,26,2022-10-28
2305,0022200073,1610612761,TOR,1610612755,PHI,2022-23,26,28,2022-10-28
2306,0022200074,1610612754,IND,1610612764,WAS,2022-23,36,28,2022-10-28
2307,0022200074,1610612764,WAS,1610612754,IND,2022-23,28,36,2022-10-28
2308,0022200077,1610612741,CHI,1610612759,SAS,2022-23,29,36,2022-10-28
2309,0022200077,1610612759,SAS,1610612741,CHI,2022-23,36,29,2022-10-28
