index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,FGA_FQ,FGA_OPP_FQ,FG_PCT_FQ,FG_PCT_OPP_FQ,FG3_PCT_FQ,FG3_PCT_OPP_FQ,FT_PCT_FQ,FT_PCT_OPP_FQ,FTA_FQ,FTA_OPP_FQ,TO_FQ,TO_OPP_FQ,OREB_FQ,OREB_OPP_FQ,DREB_FQ,DREB_OPP_FQ
2459,0022200001,1610612738,1610612755,21,20,0.381,0.35,0.222,0.364,0.75,0.786,8,14,4,5,3,3,9,8
2458,0022200001,1610612755,1610612738,20,21,0.35,0.381,0.364,0.222,0.786,0.75,14,8,5,4,3,3,8,9
2456,0022200002,1610612747,1610612744,24,24,0.333,0.292,0.1,0.273,0.714,0.667,7,12,6,6,2,3,12,12
2457,0022200002,1610612744,1610612747,24,24,0.292,0.333,0.273,0.1,0.667,0.714,12,7,6,6,3,2,12,12
2445,0022200003,1610612765,1610612753,22,19,0.318,0.579,0.0,0.25,1.0,0.571,3,7,4,5,2,2,7,10
2444,0022200003,1610612753,1610612765,19,22,0.579,0.318,0.25,0.0,0.571,1.0,7,3,5,4,2,2,10,7
2451,0022200004,1610612754,1610612764,23,25,0.348,0.52,0.357,0.4,1.0,0.667,4,9,6,2,2,3,10,9
2450,0022200004,1610612764,1610612754,25,23,0.52,0.348,0.4,0.357,0.667,1.0,9,4,2,6,3,2,9,10
2434,0022200005,1610612745,1610612737,21,25,0.381,0.44,0.167,0.0,1.0,0.667,3,6,7,2,2,2,10,10
2435,0022200005,1610612737,1610612745,25,21,0.44,0.381,0.0,0.167,0.667,1.0,6,3,2,7,2,2,10,10
2438,0022200006,1610612740,1610612751,28,20,0.5,0.3,0.6,0.0,0.5,1.0,2,2,6,9,7,2,11,6
2439,0022200006,1610612751,1610612740,20,28,0.3,0.5,0.0,0.6,1.0,0.5,2,2,9,6,2,7,6,11
2436,0022200007,1610612748,1610612741,22,22,0.5,0.455,0.75,0.3,0.833,0.833,6,6,2,4,0,2,10,10
2437,0022200007,1610612741,1610612748,22,22,0.455,0.5,0.3,0.75,0.833,0.833,6,6,4,2,2,0,10,10
2455,0022200008,1610612739,1610612761,22,19,0.364,0.421,0.375,0.444,0.75,0.667,4,12,6,5,3,2,6,11
2454,0022200008,1610612761,1610612739,19,22,0.421,0.364,0.444,0.375,0.667,0.75,12,4,5,6,2,3,11,6
2441,0022200009,1610612763,1610612752,28,25,0.286,0.36,0.308,0.4,0.833,0.5,6,2,2,3,6,2,13,10
2440,0022200009,1610612752,1610612763,25,28,0.36,0.286,0.4,0.308,0.5,0.833,2,6,3,2,2,6,10,13
2452,0022200010,1610612760,1610612750,28,24,0.321,0.542,0.167,0.333,0.667,1.0,3,6,5,4,6,3,8,11
2453,0022200010,1610612750,1610612760,24,28,0.542,0.321,0.333,0.167,1.0,0.667,6,3,4,5,3,6,11,8
2446,0022200011,1610612759,1610612766,23,29,0.391,0.552,0.182,0.667,0.5,0.667,4,6,7,1,4,5,9,7
2447,0022200011,1610612766,1610612759,29,23,0.552,0.391,0.667,0.182,0.667,0.5,6,4,1,7,5,4,7,9
2448,0022200012,1610612762,1610612743,26,22,0.577,0.545,0.462,0.167,0.5,0.833,2,6,6,3,3,0,10,5
2449,0022200012,1610612743,1610612762,22,26,0.545,0.577,0.167,0.462,0.833,0.5,6,2,3,6,0,3,5,10
2442,0022200013,1610612756,1610612742,24,20,0.458,0.6,0.0,0.444,0.667,0.571,3,7,3,2,3,0,7,10
2443,0022200013,1610612742,1610612756,20,24,0.6,0.458,0.444,0.0,0.571,0.667,7,3,2,3,0,3,10,7
2433,0022200014,1610612757,1610612758,20,18,0.45,0.389,0.6,0.3,0.786,0.6,14,10,1,4,3,0,10,8
2432,0022200014,1610612758,1610612757,18,20,0.389,0.45,0.3,0.6,0.6,0.786,10,14,4,1,0,3,8,10
2431,0022200015,1610612749,1610612755,21,22,0.571,0.409,0.455,0.6,1.0,0.6,1,5,3,2,1,4,10,8
2430,0022200015,1610612755,1610612749,22,21,0.409,0.571,0.6,0.455,0.6,1.0,5,1,2,3,4,1,8,10
2428,0022200016,1610612747,1610612746,26,24,0.308,0.5,0.231,0.375,0.8,0.8,5,10,2,3,1,2,10,16
2429,0022200016,1610612746,1610612747,24,26,0.5,0.308,0.375,0.231,0.8,0.8,10,5,3,2,2,1,16,10
2412,0022200017,1610612740,1610612766,21,25,0.571,0.4,0.444,0.4,0.778,0.0,9,0,3,6,1,4,11,6
2413,0022200017,1610612766,1610612740,25,21,0.4,0.571,0.4,0.444,0.0,0.778,0,9,6,3,4,1,6,11
2406,0022200018,1610612759,1610612754,27,22,0.556,0.455,0.5,0.143,0.667,1.0,3,5,2,6,3,4,7,9
2407,0022200018,1610612754,1610612759,22,27,0.455,0.556,0.143,0.5,1.0,0.667,5,3,6,2,4,3,9,7
