index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP
2459,22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,2022-10-18,53,24.0,24.0,22.0,22.0,21.0,24.0
2456,22200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,2022-10-18,47,25.0,25.0,29.0,29.0,24.0,21.0
2457,22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,2022-10-18,47,22.0,22.0,24.0,24.0,24.0,20.0
2458,22200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,2022-10-18,53,29.0,29.0,25.0,25.0,20.0,24.0
2435,22200009,1610612752,NYK,1610612763,MEM,2022-23,23,25,2022-10-19,48,23.0,23.0,37.0,37.0,25.0,24.0
2449,22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,2022-10-19,57,35.0,35.0,32.0,32.0,24.0,25.0
2445,22200003,1610612753,ORL,1610612765,DET,2022-23,28,17,2022-10-19,45,28.0,28.0,22.0,22.0,19.0,22.0
2444,22200003,1610612765,DET,1610612753,ORL,2022-23,17,28,2022-10-19,45,17.0,17.0,38.0,38.0,22.0,19.0
2453,22200014,1610612758,SAC,1610612757,POR,2022-23,23,32,2022-10-19,55,23.0,23.0,22.0,22.0,18.0,23.0
2447,22200004,1610612754,IND,1610612764,WAS,2022-23,25,36,2022-10-19,61,25.0,25.0,20.0,20.0,23.0,18.0
2446,22200004,1610612764,WAS,1610612754,IND,2022-23,36,25,2022-10-19,61,36.0,36.0,30.0,30.0,25.0,20.0
2452,22200014,1610612757,POR,1610612758,SAC,2022-23,32,23,2022-10-19,55,32.0,32.0,35.0,35.0,20.0,25.0
2450,22200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,2022-10-19,46,26.0,26.0,28.0,28.0,25.0,21.0
2451,22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,2022-10-19,46,20.0,20.0,25.0,25.0,21.0,25.0
2439,22200011,1610612759,SAS,1610612766,CHA,2022-23,22,38,2022-10-19,60,22.0,22.0,28.0,28.0,23.0,20.0
2443,22200013,1610612742,DAL,1610612756,PHX,2022-23,32,24,2022-10-19,56,32.0,32.0,14.0,14.0,20.0,23.0
2448,22200010,1610612760,OKC,1610612750,MIN,2022-23,22,35,2022-10-19,57,22.0,22.0,23.0,23.0,28.0,24.0
2442,22200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,2022-10-19,56,24.0,24.0,22.0,22.0,24.0,28.0
2454,22200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,2022-10-19,61,28.0,28.0,25.0,25.0,22.0,22.0
2455,22200007,1610612748,MIA,1610612741,CHI,2022-23,33,28,2022-10-19,61,33.0,33.0,32.0,32.0,22.0,22.0
2436,22200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,2022-10-19,67,37.0,37.0,23.0,23.0,26.0,22.0
2441,22200008,1610612739,CLE,1610612761,TOR,2022-23,22,28,2022-10-19,50,22.0,22.0,24.0,24.0,22.0,26.0
2440,22200008,1610612761,TOR,1610612739,CLE,2022-23,28,22,2022-10-19,50,28.0,28.0,26.0,26.0,19.0,22.0
2437,22200012,1610612743,DEN,1610612762,UTA,2022-23,30,37,2022-10-19,67,30.0,30.0,36.0,36.0,22.0,19.0
2434,22200009,1610612763,MEM,1610612752,NYK,2022-23,25,23,2022-10-19,48,25.0,25.0,28.0,28.0,28.0,20.0
2433,22200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,2022-10-19,46,14.0,14.0,32.0,32.0,20.0,28.0
2432,22200006,1610612740,NOP,1610612751,BKN,2022-23,32,14,2022-10-19,46,32.0,32.0,33.0,33.0,28.0,29.0
2438,22200011,1610612766,CHA,1610612759,SAS,2022-23,38,22,2022-10-19,60,38.0,38.0,17.0,17.0,29.0,28.0
2429,22200015,1610612755,PHI,1610612749,MIL,2022-23,24,30,2022-10-20,54,29.0,29.0,30.0,30.0,20.0,21.0
