index,GAME_ID,PTS_QTR1,OPP_PTS_QTR1
2457,0022200001,24,29
2456,0022200001,29,24
2459,0022200002,22,25
2458,0022200002,25,22
2446,0022200003,17,28
2447,0022200003,28,17
2441,0022200004,25,36
2440,0022200004,36,25
2435,0022200005,20,26
2434,0022200005,26,20
2439,0022200006,14,32
2438,0022200006,32,14
2433,0022200007,33,28
2432,0022200007,28,33
2437,0022200008,22,28
2436,0022200008,28,22
2442,0022200009,25,23
2443,0022200009,23,25
2449,0022200010,35,22
2448,0022200010,22,35
2451,0022200011,22,38
2450,0022200011,38,22
2453,0022200012,30,37
2452,0022200012,37,30
2444,0022200013,24,32
2445,0022200013,32,24
2454,0022200014,32,23
2455,0022200014,23,32
2429,0022200015,24,30
2428,0022200015,30,24
2430,0022200016,35,23
2431,0022200016,23,35
2408,0022200017,35,24
2409,0022200017,24,35
2416,0022200018,36,26
2417,0022200018,26,36
2426,0022200019,30,26
2427,0022200019,26,30
2425,0022200020,19,27
2424,0022200020,27,19
2420,0022200021,24,28
2421,0022200021,28,24
2407,0022200022,22,30
2406,0022200022,30,22
2422,0022200023,20,30
2423,0022200023,30,20
2418,0022200024,26,32
2419,0022200024,32,26
2414,0022200025,41,26
2415,0022200025,26,41
2413,0022200026,34,40
2412,0022200026,40,34
2411,0022200027,28,25
2410,0022200027,25,28
2396,0022200028,25,19
2397,0022200028,19,25
2403,0022200029,35,25
2402,0022200029,25,35
2392,0022200030,36,33
2393,0022200030,33,36
2404,0022200031,38,33
2405,0022200031,33,38
2388,0022200032,34,25
2389,0022200032,25,34
2401,0022200033,41,23
2400,0022200033,23,41
2390,0022200034,17,39
2391,0022200034,39,17
2394,0022200035,28,29
2395,0022200035,29,28
2398,0022200036,26,29
2399,0022200036,29,26
2387,0022200037,32,24
2386,0022200037,24,32
2374,0022200038,22,30
2375,0022200038,30,22
2377,0022200039,30,31
2376,0022200039,31,30
2381,0022200040,26,24
2380,0022200040,24,26
2385,0022200041,18,31
2384,0022200041,31,18
2379,0022200042,36,39
2378,0022200042,39,36
2382,0022200043,33,18
2383,0022200043,18,33
2362,0022200044,33,23
2363,0022200044,23,33
2372,0022200045,27,23
2373,0022200045,23,27
2370,0022200046,28,34
2371,0022200046,34,28
2364,0022200047,30,39
2365,0022200047,39,30
2360,0022200048,21,18
2361,0022200048,18,21
2367,0022200049,34,39
2366,0022200049,39,34
2368,0022200050,39,28
2369,0022200050,28,39
2359,0022200051,31,23
2358,0022200051,23,31
2355,0022200052,25,28
2354,0022200052,28,25
2351,0022200053,40,31
2350,0022200053,31,40
2352,0022200054,23,18
2353,0022200054,18,23
2357,0022200055,29,37
2356,0022200055,37,29
2349,0022200056,24,30
2348,0022200056,30,24
2335,0022200057,32,36
2334,0022200057,36,32
2333,0022200058,32,30
2332,0022200058,30,32
2331,0022200059,27,35
2330,0022200059,35,27
2341,0022200060,20,25
2340,0022200060,25,20
2345,0022200061,38,27
2344,0022200061,27,38
2337,0022200062,39,28
2336,0022200062,28,39
2339,0022200063,21,22
2338,0022200063,22,21
2343,0022200064,22,26
2342,0022200064,26,22
2346,0022200065,28,31
2347,0022200065,31,28
2327,0022200066,30,23
2326,0022200066,23,30
2325,0022200067,24,34
2324,0022200067,34,24
2328,0022200068,30,31
2329,0022200068,31,30
2322,0022200069,28,32
2323,0022200069,32,28
2310,0022200070,35,29
2311,0022200070,29,35
2305,0022200071,19,22
2304,0022200071,22,19
2321,0022200072,34,33
2320,0022200072,33,34
2309,0022200073,26,28
2308,0022200073,28,26
2300,0022200074,36,28
2301,0022200074,28,36
2318,0022200075,24,26
2319,0022200075,26,24
2316,0022200076,28,25
2317,0022200076,25,28
2313,0022200077,36,29
2312,0022200077,29,36
2302,0022200078,25,35
2303,0022200078,35,25
2315,0022200079,21,27
2314,0022200079,27,21
2307,0022200080,32,23
2306,0022200080,23,32
2297,0022200081,23,32
2296,0022200081,32,23
2288,0022200082,23,34
2289,0022200082,34,23
2294,0022200083,26,26
2299,0022200084,37,22
2298,0022200084,22,37
2291,0022200085,32,30
2290,0022200085,30,32
2287,0022200086,27,25
2286,0022200086,25,27
2292,0022200087,30,24
2293,0022200087,24,30
2270,0022200088,25,18
2271,0022200088,18,25
2282,0022200089,34,15
2283,0022200089,15,34
2280,0022200090,35,30
2281,0022200090,30,35
2275,0022200091,29,37
2274,0022200091,37,29
2278,0022200092,23,26
2279,0022200092,26,23
2284,0022200093,34,29
2285,0022200093,29,34
2277,0022200094,24,29
2276,0022200094,29,24
2273,0022200095,31,26
2272,0022200095,26,31
2269,0022200096,24,34
2268,0022200096,34,24
2262,0022200097,30,28
2263,0022200097,28,30
2259,0022200098,33,18
2258,0022200098,18,33
2264,0022200099,34,28
2265,0022200099,28,34
2266,0022200100,23,34
2267,0022200100,34,23
2256,0022200101,23,26
2257,0022200101,26,23
2261,0022200102,23,30
2260,0022200102,30,23
2254,0022200103,27,25
2255,0022200103,25,27
2249,0022200104,24,33
2248,0022200104,33,24
2252,0022200105,33,32
2253,0022200105,32,33
2251,0022200106,24,20
2250,0022200106,20,24
2238,0022200107,27,35
2239,0022200107,35,27
2235,0022200108,31,25
2234,0022200108,25,31
2241,0022200109,33,32
2240,0022200109,32,33
2230,0022200110,21,32
2231,0022200110,32,21
2233,0022200111,27,26
2232,0022200111,26,27
2236,0022200112,34,24
2237,0022200112,24,34
2247,0022200113,31,26
2246,0022200113,26,31
2227,0022200114,32,31
2226,0022200114,31,32
2243,0022200115,35,23
2242,0022200115,23,35
2245,0022200116,30,23
2244,0022200116,23,30
2229,0022200117,27,23
2228,0022200117,23,27
2222,0022200118,30,30
2225,0022200119,42,29
2224,0022200119,29,42
2206,0022200120,24,21
2207,0022200120,21,24
2219,0022200121,28,29
2218,0022200121,29,28
2221,0022200122,22,21
2220,0022200122,21,22
2204,0022200123,28,38
2205,0022200123,38,28
2202,0022200124,31,26
2203,0022200124,26,31
2217,0022200125,24,41
2216,0022200125,41,24
2215,0022200126,18,28
2214,0022200126,28,18
2211,0022200127,31,29
2210,0022200127,29,31
2212,0022200128,26,27
2213,0022200128,27,26
2209,0022200129,26,34
2208,0022200129,34,26
2198,0022200130,25,28
2199,0022200130,28,25
2200,0022200131,40,34
2201,0022200131,34,40
2182,0022200132,25,33
2183,0022200132,33,25
2188,0022200133,21,30
2189,0022200133,30,21
2195,0022200134,29,28
2194,0022200134,28,29
2191,0022200135,29,32
2190,0022200135,32,29
2184,0022200136,34,34
2197,0022200137,34,40
2196,0022200137,40,34
2186,0022200138,40,27
2187,0022200138,27,40
2192,0022200139,35,26
2193,0022200139,26,35
2179,0022200140,30,36
2178,0022200140,36,30
2176,0022200141,30,21
2177,0022200141,21,30
2181,0022200142,24,25
2180,0022200142,25,24
2174,0022200143,29,29
2170,0022200144,26,18
2171,0022200144,18,26
2144,0022200145,30,33
2145,0022200145,33,30
2154,0022200146,33,28
2155,0022200146,28,33
2161,0022200147,32,30
2160,0022200147,30,32
2163,0022200148,33,20
2162,0022200148,20,33
2151,0022200149,36,25
2150,0022200149,25,36
2156,0022200150,28,28
2168,0022200151,27,30
2169,0022200151,30,27
2167,0022200152,34,28
2166,0022200152,28,34
2159,0022200153,29,38
2158,0022200153,38,29
2152,0022200154,28,28
2165,0022200155,34,29
2164,0022200155,29,34
2148,0022200156,29,31
2149,0022200156,31,29
2172,0022200157,42,34
2173,0022200157,34,42
2147,0022200158,31,37
2146,0022200158,37,31
2120,0022200159,25,30
2121,0022200159,30,25
2126,0022200160,35,27
2127,0022200160,27,35
2133,0022200161,24,28
2132,0022200161,28,24
2135,0022200162,26,22
2134,0022200162,22,26
2143,0022200163,21,29
2142,0022200163,29,21
2125,0022200164,22,38
2124,0022200164,38,22
2119,0022200165,37,29
2118,0022200165,29,37
2138,0022200166,22,22
2130,0022200167,39,25
2131,0022200167,25,39
2140,0022200168,27,27
2129,0022200169,32,38
2128,0022200169,38,32
2136,0022200170,21,38
2137,0022200170,38,21
2123,0022200171,29,34
2122,0022200171,34,29
2112,0022200172,28,34
2113,0022200172,34,28
2110,0022200173,20,29
2111,0022200173,29,20
2117,0022200174,32,27
2116,0022200174,27,32
2114,0022200175,27,27
2094,0022200176,33,25
2095,0022200176,25,33
2100,0022200177,30,23
2101,0022200177,23,30
2098,0022200178,26,30
2099,0022200178,30,26
2102,0022200179,29,24
2103,0022200179,24,29
2106,0022200180,31,27
2107,0022200180,27,31
2097,0022200181,33,30
2096,0022200181,30,33
2104,0022200182,25,25
2108,0022200183,23,23
2093,0022200184,19,24
2092,0022200184,24,19
2084,0022200185,28,30
2085,0022200185,30,28
2090,0022200186,29,30
2091,0022200186,30,29
2089,0022200187,28,26
2088,0022200187,26,28
2079,0022200188,24,37
2078,0022200188,37,24
2080,0022200189,33,34
2081,0022200189,34,33
2087,0022200190,25,35
2086,0022200190,35,25
2083,0022200191,26,34
