index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP
2459,22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,2022-10-18,53
2458,22200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,2022-10-18,53
2457,22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,2022-10-18,47
2456,22200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,2022-10-18,47
2446,22200004,1610612764,WAS,1610612754,IND,2022-23,36,25,2022-10-19,61
2435,22200009,1610612752,NYK,1610612763,MEM,2022-23,23,25,2022-10-19,48
2436,22200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,2022-10-19,67
2437,22200012,1610612743,DEN,1610612762,UTA,2022-23,30,37,2022-10-19,67
2438,22200011,1610612766,CHA,1610612759,SAS,2022-23,38,22,2022-10-19,60
2439,22200011,1610612759,SAS,1610612766,CHA,2022-23,22,38,2022-10-19,60
2440,22200008,1610612761,TOR,1610612739,CLE,2022-23,28,22,2022-10-19,50
2441,22200008,1610612739,CLE,1610612761,TOR,2022-23,22,28,2022-10-19,50
2442,22200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,2022-10-19,56
2443,22200013,1610612742,DAL,1610612756,PHX,2022-23,32,24,2022-10-19,56
2444,22200003,1610612765,DET,1610612753,ORL,2022-23,17,28,2022-10-19,45
2447,22200004,1610612754,IND,1610612764,WAS,2022-23,25,36,2022-10-19,61
2432,22200006,1610612740,NOP,1610612751,BKN,2022-23,32,14,2022-10-19,46
2434,22200009,1610612763,MEM,1610612752,NYK,2022-23,25,23,2022-10-19,48
2448,22200010,1610612760,OKC,1610612750,MIN,2022-23,22,35,2022-10-19,57
2449,22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,2022-10-19,57
2450,22200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,2022-10-19,46
2451,22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,2022-10-19,46
2452,22200014,1610612757,POR,1610612758,SAC,2022-23,32,23,2022-10-19,55
