GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,OPP_PTS_QTR1
22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29
22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25
22200003,1610612765,DET,1610612753,ORL,2022-23,17,28
22200004,1610612764,WAS,1610612754,IND,2022-23,25,36
22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26
22200006,1610612751,BKN,1610612740,NOP,2022-23,32,14
22200007,1610612741,CHI,1610612748,MIA,2022-23,33,28
22200008,1610612739,CLE,1610612761,TOR,2022-23,22,28
22200009,1610612763,MEM,1610612752,NYK,2022-23,25,23
22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22
22200011,1610612759,SAS,1610612766,CHA,2022-23,22,38
22200012,1610612743,DEN,1610612762,UTA,2022-23,37,30
22200013,1610612742,DAL,1610612756,PHX,2022-23,24,32
22200014,1610612758,SAC,1610612757,POR,2022-23,23,32
22200015,1610612749,MIL,1610612755,PHI,2022-23,24,30
22200016,1610612747,LAL,1610612746,LAC,2022-23,23,35
22200017,1610612766,CHA,1610612740,NOP,2022-23,35,24
22200018,1610612754,IND,1610612759,SAS,2022-23,26,36
22200019,1610612741,CHI,1610612764,WAS,2022-23,26,30
22200020,1610612753,ORL,1610612737,ATL,2022-23,19,27
22200021,1610612761,TOR,1610612751,BKN,2022-23,24,28
22200022,1610612748,MIA,1610612738,BOS,2022-23,22,30
22200023,1610612765,DET,1610612752,NYK,2022-23,20,30
22200024,1610612763,MEM,1610612745,HOU,2022-23,32,26
22200025,1610612762,UTA,1610612750,MIN,2022-23,26,41
22200026,1610612744,GSW,1610612743,DEN,2022-23,34,40
22200027,1610612756,PHX,1610612757,POR,2022-23,28,25
22200028,1610612755,PHI,1610612759,SAS,2022-23,25,19
22200029,1610612765,DET,1610612754,IND,2022-23,25,35
22200030,1610612738,BOS,1610612753,ORL,2022-23,33,36
22200031,1610612761,TOR,1610612748,MIA,2022-23,38,33
22200032,1610612741,CHI,1610612739,CLE,2022-23,25,34
22200033,1610612749,MIL,1610612745,HOU,2022-23,41,23
22200034,1610612763,MEM,1610612742,DAL,2022-23,17,39
22200035,1610612743,DEN,1610612760,OKC,2022-23,29,28
22200036,1610612758,SAC,1610612746,LAC,2022-23,29,26
