index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP
2459,22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,2022-10-18,53,24.0,24.0,22.0,22.0,21.0,24.0,106.0,106.0,29.0,29.0,25.0,25.0,0.429,0.354,0.381,0.333,0.222,0.364,0.75,0.667,8.0,7.0,4.0,6.0,3.0,2.0,9.0,12.0,92.3,73.3
2457,22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,2022-10-18,47,22.0,22.0,24.0,24.0,24.0,20.0,120.0,120.0,25.0,25.0,29.0,29.0,0.354,0.45,0.333,0.381,0.1,0.273,0.714,0.786,7.0,8.0,6.0,5.0,2.0,3.0,12.0,8.0,73.3,92.3
2456,22200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,2022-10-18,47,25.0,25.0,29.0,29.0,24.0,21.0,120.0,120.0,22.0,22.0,24.0,24.0,0.354,0.429,0.292,0.35,0.273,0.1,0.667,0.75,12.0,14.0,6.0,4.0,3.0,3.0,12.0,9.0,83.3,107.4
2458,22200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,2022-10-18,53,29.0,29.0,25.0,25.0,20.0,24.0,106.0,106.0,24.0,24.0,22.0,22.0,0.45,0.354,0.35,0.292,0.364,0.222,0.786,0.714,14.0,12.0,5.0,6.0,3.0,3.0,8.0,12.0,107.4,83.3
2434,22200009,1610612763,MEM,1610612752,NYK,2022-23,25,23,2022-10-19,48,25.0,25.0,28.0,28.0,28.0,20.0,100.0,100.0,23.0,23.0,32.0,32.0,0.357,0.604,0.286,0.321,0.308,0.6,0.833,0.5,6.0,3.0,2.0,6.0,6.0,3.0,13.0,5.0,100.0,129.6
2449,22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,2022-10-19,57,35.0,35.0,32.0,32.0,24.0,25.0,108.0,112.0,22.0,22.0,36.0,36.0,0.604,0.357,0.542,0.5,0.333,0.0,1.0,0.833,6.0,6.0,4.0,2.0,3.0,6.0,11.0,10.0,129.6,100.0
2445,22200003,1610612753,ORL,1610612765,DET,2022-23,28,17,2022-10-19,45,28.0,28.0,22.0,22.0,19.0,22.0,98.0,108.0,17.0,17.0,22.0,22.0,0.632,0.472,0.579,0.318,0.25,0.667,0.571,1.0,7.0,3.0,5.0,4.0,2.0,2.0,10.0,7.0,112.0,70.8
2444,22200003,1610612765,DET,1610612753,ORL,2022-23,17,28,2022-10-19,45,17.0,17.0,38.0,38.0,22.0,19.0,98.0,108.0,28.0,28.0,35.0,35.0,0.318,0.636,0.318,0.579,0.0,0.375,1.0,0.571,3.0,7.0,4.0,5.0,2.0,2.0,7.0,10.0,70.8,112.0
2452,22200014,1610612757,POR,1610612758,SAC,2022-23,32,23,2022-10-19,55,32.0,32.0,35.0,35.0,20.0,25.0,100.0,106.0,23.0,23.0,20.0,20.0,0.525,0.554,0.45,0.52,0.6,0.308,0.786,1.0,14.0,4.0,1.0,6.0,3.0,2.0,10.0,10.0,128.0,128.6
2446,22200004,1610612764,WAS,1610612754,IND,2022-23,36,25,2022-10-19,61,36.0,36.0,30.0,30.0,25.0,20.0,112.0,112.0,25.0,25.0,30.0,30.0,0.6,0.3,0.52,0.45,0.4,0.462,0.667,0.6,9.0,10.0,2.0,4.0,3.0,0.0,9.0,8.0,128.6,128.0
2447,22200004,1610612754,IND,1610612764,WAS,2022-23,25,36,2022-10-19,61,25.0,25.0,20.0,20.0,23.0,18.0,112.0,108.0,36.0,36.0,22.0,22.0,0.457,0.7,0.348,0.389,0.357,0.167,1.0,0.786,4.0,14.0,6.0,1.0,2.0,3.0,10.0,10.0,89.3,92.0
2453,22200014,1610612758,SAC,1610612757,POR,2022-23,23,32,2022-10-19,55,23.0,23.0,22.0,22.0,18.0,23.0,100.0,100.0,32.0,32.0,23.0,23.0,0.472,0.632,0.389,0.348,0.3,0.75,0.6,0.667,10.0,9.0,4.0,2.0,0.0,3.0,8.0,9.0,92.0,89.3
2450,22200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,2022-10-19,46,26.0,26.0,28.0,28.0,25.0,21.0,110.0,110.0,20.0,20.0,23.0,23.0,0.44,0.523,0.44,0.381,0.0,0.182,0.667,1.0,6.0,3.0,2.0,7.0,2.0,2.0,10.0,10.0,92.9,74.1
2451,22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,2022-10-19,46,20.0,20.0,25.0,25.0,21.0,25.0,110.0,110.0,26.0,26.0,37.0,37.0,0.405,0.568,0.381,0.44,0.167,0.167,1.0,0.667,3.0,6.0,7.0,2.0,2.0,2.0,10.0,10.0,74.1,92.9
2442,22200013,1610612756,PHX,1610612742,DAL,2022-23,24,32,2022-10-19,56,24.0,24.0,22.0,22.0,24.0,28.0,100.0,110.0,32.0,32.0,32.0,32.0,0.458,0.586,0.458,0.5,0.0,0.333,0.667,0.5,3.0,2.0,3.0,1.0,3.0,5.0,7.0,6.0,96.0,50.0
2433,22200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,2022-10-19,46,14.0,14.0,32.0,32.0,20.0,28.0,110.0,100.0,32.0,32.0,32.0,32.0,0.3,0.6,0.3,0.552,0.0,0.3,1.0,0.571,2.0,4.0,9.0,7.0,2.0,0.0,6.0,7.0,50.0,96.0
2448,22200010,1610612760,OKC,1610612750,MIN,2022-23,22,35,2022-10-19,57,22.0,22.0,23.0,23.0,28.0,24.0,108.0,98.0,35.0,35.0,28.0,28.0,0.357,0.44,0.321,0.286,0.167,0.357,0.667,0.5,3.0,6.0,5.0,3.0,6.0,0.0,8.0,10.0,81.5,107.7
2454,22200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,2022-10-19,61,28.0,28.0,25.0,25.0,22.0,22.0,106.0,110.0,33.0,33.0,22.0,22.0,0.523,0.44,0.455,0.545,0.3,0.0,0.833,0.833,6.0,2.0,4.0,3.0,2.0,3.0,10.0,10.0,107.7,81.5
