GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP,TEAM_AST_TOV,AST_TOV_OPP,TEAM_LAST_3,LAST_3_OPP,LAST_3_H2H,LAST_3_PACE_H2H
22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,53,24.0,24.0,29.0,29.0,21.0,20.0,106.0,106.0,29.0,29.0,24.0,24.0,0.429,0.45,0.381,0.35,0.222,0.364,0.75,0.786,8.0,14.0,4.0,5.0,3.0,3.0,9.0,8.0,92.3,107.4,1.2,0.4,24.0,29.0,55.0,103.03333333333333
22200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,53,29.0,29.0,24.0,24.0,20.0,21.0,106.0,106.0,24.0,24.0,29.0,29.0,0.45,0.429,0.35,0.381,0.364,0.222,0.786,0.75,14.0,8.0,5.0,4.0,3.0,3.0,8.0,9.0,107.4,92.3,0.4,1.2,29.0,24.0,55.0,103.03333333333333
22200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,47,25.0,25.0,22.0,22.0,24.0,24.0,120.0,120.0,22.0,22.0,25.0,25.0,0.354,0.354,0.292,0.333,0.273,0.1,0.667,0.714,12.0,7.0,6.0,6.0,3.0,2.0,12.0,12.0,83.3,73.3,0.67,0.57,25.0,22.0,49.333333333333336,109.33333333333333
22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,47,22.0,22.0,25.0,25.0,24.0,24.0,120.0,120.0,25.0,25.0,22.0,22.0,0.354,0.354,0.333,0.292,0.1,0.273,0.714,0.667,7.0,12.0,6.0,6.0,2.0,3.0,12.0,12.0,73.3,83.3,0.57,0.67,22.0,25.0,49.333333333333336,109.33333333333333
22200003,1610612753,ORL,1610612765,DET,2022-23,28,17,45,28.0,28.0,17.0,17.0,19.0,22.0,98.0,98.0,17.0,17.0,28.0,28.0,0.632,0.318,0.579,0.318,0.25,0.0,0.571,1.0,7.0,3.0,5.0,4.0,2.0,2.0,10.0,7.0,112.0,70.8,0.8,1.5,28.0,17.0,55.666666666666664,100.03333333333333
22200003,1610612765,DET,1610612753,ORL,2022-23,17,28,45,17.0,17.0,28.0,28.0,22.0,19.0,98.0,98.0,28.0,28.0,17.0,17.0,0.318,0.632,0.318,0.579,0.0,0.25,1.0,0.571,3.0,7.0,4.0,5.0,2.0,2.0,7.0,10.0,70.8,112.0,1.5,0.8,17.0,28.0,55.666666666666664,100.03333333333333
22200004,1610612764,WAS,1610612754,IND,2022-23,36,25,61,36.0,36.0,25.0,25.0,25.0,23.0,112.0,112.0,25.0,25.0,36.0,36.0,0.6,0.457,0.52,0.348,0.4,0.357,0.667,1.0,9.0,4.0,2.0,6.0,3.0,2.0,9.0,10.0,128.6,89.3,3.0,0.5,36.0,25.0,64.66666666666667,106.26666666666667
22200004,1610612754,IND,1610612764,WAS,2022-23,25,36,61,25.0,25.0,36.0,36.0,23.0,25.0,112.0,112.0,36.0,36.0,25.0,25.0,0.457,0.6,0.348,0.52,0.357,0.4,1.0,0.667,4.0,9.0,6.0,2.0,2.0,3.0,10.0,9.0,89.3,128.6,0.5,3.0,25.0,36.0,64.66666666666667,106.26666666666667
22200005,1610612737,ATL,1610612745,HOU,2022-23,26,20,46,26.0,26.0,20.0,20.0,25.0,21.0,110.0,110.0,20.0,20.0,26.0,26.0,0.44,0.405,0.44,0.381,0.0,0.167,0.667,1.0,6.0,3.0,2.0,7.0,2.0,2.0,10.0,10.0,92.9,74.1,2.5,0.57,26.0,20.0,63.0,104.0
22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,46,20.0,20.0,26.0,26.0,21.0,25.0,110.0,110.0,26.0,26.0,20.0,20.0,0.405,0.44,0.381,0.44,0.167,0.0,1.0,0.667,3.0,6.0,7.0,2.0,2.0,2.0,10.0,10.0,74.1,92.9,0.57,2.5,20.0,26.0,63.0,104.0
22200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,46,14.0,14.0,32.0,32.0,20.0,28.0,110.0,110.0,32.0,32.0,14.0,14.0,0.3,0.554,0.3,0.5,0.0,0.6,1.0,0.5,2.0,2.0,9.0,6.0,2.0,7.0,6.0,11.0,50.0,118.5,0.33,1.17,14.0,32.0,51.0,104.93333333333334
22200006,1610612740,NOP,1610612751,BKN,2022-23,32,14,46,32.0,32.0,14.0,14.0,28.0,20.0,110.0,110.0,14.0,14.0,32.0,32.0,0.554,0.3,0.5,0.3,0.6,0.0,0.5,1.0,2.0,2.0,6.0,9.0,7.0,2.0,11.0,6.0,118.5,50.0,1.17,0.33,32.0,14.0,51.0,104.93333333333334
22200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,61,28.0,28.0,33.0,33.0,22.0,22.0,106.0,106.0,33.0,33.0,28.0,28.0,0.523,0.636,0.455,0.5,0.3,0.75,0.833,0.833,6.0,6.0,4.0,2.0,2.0,0.0,10.0,10.0,107.7,122.2,1.5,4.0,28.0,33.0,48.0,101.23333333333333
22200007,1610612748,MIA,1610612741,CHI,2022-23,33,28,61,33.0,33.0,28.0,28.0,22.0,22.0,106.0,106.0,28.0,28.0,33.0,33.0,0.636,0.523,0.5,0.455,0.75,0.3,0.833,0.833,6.0,6.0,2.0,4.0,0.0,2.0,10.0,10.0,122.2,107.7,4.0,1.5,33.0,28.0,48.0,101.23333333333333
22200008,1610612739,CLE,1610612761,TOR,2022-23,22,28,50,22.0,22.0,28.0,28.0,22.0,19.0,108.0,108.0,28.0,28.0,22.0,22.0,0.432,0.526,0.364,0.421,0.375,0.444,0.75,0.667,4.0,12.0,6.0,5.0,3.0,2.0,6.0,11.0,81.5,103.7,0.67,0.6,22.0,28.0,60.666666666666664,101.46666666666667
22200008,1610612761,TOR,1610612739,CLE,2022-23,28,22,50,28.0,28.0,22.0,22.0,19.0,22.0,108.0,108.0,22.0,22.0,28.0,28.0,0.526,0.432,0.421,0.364,0.444,0.375,0.667,0.75,12.0,4.0,5.0,6.0,2.0,3.0,11.0,6.0,103.7,81.5,0.6,0.67,28.0,22.0,60.666666666666664,101.46666666666667
