game_id,game_date,points,fga,minutes,fouls,player_id,player_name,team_id
22200941,2023-03-01,9,10,32,1,1630530,Trey Murphy III,1610612740
22200953,2023-03-03,15,14,38,2,1630530,Trey Murphy III,1610612740
22200976,2023-03-06,17,11,37,0,1630530,Trey Murphy III,1610612740
22200988,2023-03-08,16,9,38,2,1630530,Trey Murphy III,1610612740
22201011,2023-03-11,15,12,41,4,1630530,Trey Murphy III,1610612740
22201017,2023-03-12,41,20,30,2,1630530,Trey Murphy III,1610612740
22201030,2023-03-14,20,14,38,1,1630530,Trey Murphy III,1610612740
22201051,2023-03-17,13,11,37,2,1630530,Trey Murphy III,1610612740
22201067,2023-03-19,14,13,38,0,1630530,Trey Murphy III,1610612740
22201080,2023-03-21,17,12,31,1,1630530,Trey Murphy III,1610612740
22201095,2023-03-23,19,14,33,0,1630530,Trey Murphy III,1610612740
22201112,2023-03-25,32,14,37,3,1630530,Trey Murphy III,1610612740
22201127,2023-03-27,16,11,28,3,1630530,Trey Murphy III,1610612740
22201135,2023-03-28,21,9,38,3,1630530,Trey Murphy III,1610612740
22201147,2023-03-30,15,14,39,1,1630530,Trey Murphy III,1610612740
22201162,2023-04-01,19,8,39,2,1630530,Trey Murphy III,1610612740
22201185,2023-04-04,17,12,36,2,1630530,Trey Murphy III,1610612740
22201194,2023-04-05,30,18,46,3,1630530,Trey Murphy III,1610612740
22201209,2023-04-07,31,21,39,2,1630530,Trey Murphy III,1610612740
22201225,2023-04-09,20,10,40,2,1630530,Trey Murphy III,1610612740
22300278,2023-12-01,18,13,22,0,1630530,Trey Murphy III,1610612740
22301204,2023-12-04,16,13,30,1,1630530,Trey Murphy III,1610612740
22301230,2023-12-07,14,13,22,1,1630530,Trey Murphy III,1610612740
22300301,2023-12-11,10,8,24,0,1630530,Trey Murphy III,1610612740
22300311,2023-12-13,27,10,33,0,1630530,Trey Murphy III,1610612740
22300326,2023-12-15,13,7,25,2,1630530,Trey Murphy III,1610612740
22300345,2023-12-17,14,10,25,1,1630530,Trey Murphy III,1610612740
22300360,2023-12-19,7,6,21,2,1630530,Trey Murphy III,1610612740
22300375,2023-12-21,28,16,28,1,1630530,Trey Murphy III,1610612740
22300392,2023-12-23,14,11,34,2,1630530,Trey Murphy III,1610612740
22300410,2023-12-26,10,8,36,2,1630530,Trey Murphy III,1610612740
22300424,2023-12-28,6,8,23,2,1630530,Trey Murphy III,1610612740
22300486,2024-01-05,3,9,17,0,1630530,Trey Murphy III,1610612740
22300500,2024-01-07,11,7,24,1,1630530,Trey Murphy III,1610612740
22300525,2024-01-10,16,13,24,2,1630530,Trey Murphy III,1610612740
22300539,2024-01-12,6,9,28,0,1630530,Trey Murphy III,1610612740
22300556,2024-01-15,14,5,22,0,1630530,Trey Murphy III,1610612740
22300575,2024-01-17,18,13,24,2,1630530,Trey Murphy III,1610612740
22300588,2024-01-19,5,8,24,3,1630530,Trey Murphy III,1610612740
22300616,2024-01-23,14,14,25,2,1630530,Trey Murphy III,1610612740
22300640,2024-01-26,6,7,28,1,1630530,Trey Murphy III,1610612740
22300659,2024-01-29,15,14,28,3,1630530,Trey Murphy III,1610612740
22300679,2024-01-31,13,12,27,1,1630530,Trey Murphy III,1610612740
22300696,2024-02-02,9,9,27,0,1630530,Trey Murphy III,1610612740
22300718,2024-02-05,10,10,25,1,1630530,Trey Murphy III,1610612740
22300731,2024-02-07,13,11,23,2,1630530,Trey Murphy III,1610612740
22300747,2024-02-09,5,3,19,1,1630530,Trey Murphy III,1610612740
22300758,2024-02-10,24,10,30,1,1630530,Trey Murphy III,1610612740
22300766,2024-02-12,9,8,25,0,1630530,Trey Murphy III,1610612740
22300784,2024-02-14,13,9,31,3,1630530,Trey Murphy III,1610612740
22300798,2024-02-22,13,12,34,3,1630530,Trey Murphy III,1610612740
22300810,2024-02-23,5,12,32,0,1630530,Trey Murphy III,1610612740
22300823,2024-02-25,9,11,37,1,1630530,Trey Murphy III,1610612740
22300837,2024-02-27,26,14,36,3,1630530,Trey Murphy III,1610612740
22300843,2024-02-28,11,11,31,0,1630530,Trey Murphy III,1610612740
22300863,2024-03-01,28,14,28,2,1630530,Trey Murphy III,1610612740
22300890,2024-03-05,34,17,29,0,1630530,Trey Murphy III,1610612740
22300909,2024-03-08,10,8,28,1,1630530,Trey Murphy III,1610612740
22300925,2024-03-10,28,18,30,1,1630530,Trey Murphy III,1610612740
22300951,2024-03-13,11,10,28,3,1630530,Trey Murphy III,1610612740
22300964,2024-03-15,14,10,32,0,1630530,Trey Murphy III,1610612740
22300970,2024-03-16,20,13,35,0,1630530,Trey Murphy III,1610612740
22300993,2024-03-19,10,13,30,1,1630530,Trey Murphy III,1610612740
22301004,2024-03-21,21,10,29,0,1630530,Trey Murphy III,1610612740
22301013,2024-03-22,14,11,30,1,1630530,Trey Murphy III,1610612740
22301027,2024-03-24,8,12,32,1,1630530,Trey Murphy III,1610612740
22301046,2024-03-26,16,10,39,2,1630530,Trey Murphy III,1610612740
22301061,2024-03-28,15,13,39,1,1630530,Trey Murphy III,1610612740
22301074,2024-03-30,11,10,39,1,1630530,Trey Murphy III,1610612740
22301092,2024-04-01,21,14,32,0,1630530,Trey Murphy III,1610612740
22301109,2024-04-03,14,7,37,2,1630530,Trey Murphy III,1610612740
22301123,2024-04-05,16,13,35,4,1630530,Trey Murphy III,1610612740
22301138,2024-04-07,13,13,39,2,1630530,Trey Murphy III,1610612740
22301157,2024-04-09,31,17,38,1,1630530,Trey Murphy III,1610612740
22301170,2024-04-11,27,14,45,1,1630530,Trey Murphy III,1610612740
22301182,2024-04-12,24,12,42,0,1630530,Trey Murphy III,1610612740
22301195,2024-04-14,11,8,32,2,1630530,Trey Murphy III,1610612740
22400214,2024-11-11,12,14,26,3,1630530,Trey Murphy III,1610612740
22400221,2024-11-13,14,12,26,3,1630530,Trey Murphy III,1610612740
22400017,2024-11-15,17,15,30,2,1630530,Trey Murphy III,1610612740
22400024,2024-11-19,19,13,29,1,1630530,Trey Murphy III,1610612740
22400032,2024-11-22,24,17,38,2,1630530,Trey Murphy III,1610612740
22400279,2024-11-25,24,19,40,0,1630530,Trey Murphy III,1610612740
22400042,2024-11-29,21,23,38,1,1630530,Trey Murphy III,1610612740
22400308,2024-12-01,11,14,29,2,1630530,Trey Murphy III,1610612740
22400315,2024-12-02,14,12,37,5,1630530,Trey Murphy III,1610612740
22400330,2024-12-05,19,11,34,3,1630530,Trey Murphy III,1610612740
22400342,2024-12-07,16,9,34,4,1630530,Trey Murphy III,1610612740
22400354,2024-12-08,25,16,38,1,1630530,Trey Murphy III,1610612740
22401207,2024-12-12,21,13,40,3,1630530,Trey Murphy III,1610612740
22401216,2024-12-15,16,16,36,0,1630530,Trey Murphy III,1610612740
22400365,2024-12-19,28,17,36,4,1630530,Trey Murphy III,1610612740
22400384,2024-12-21,26,18,38,3,1630530,Trey Murphy III,1610612740
22400390,2024-12-22,21,16,27,2,1630530,Trey Murphy III,1610612740
22400416,2024-12-26,21,16,30,1,1630530,Trey Murphy III,1610612740
22400423,2024-12-27,35,21,39,4,1630530,Trey Murphy III,1610612740
22400444,2024-12-30,18,10,38,1,1630530,Trey Murphy III,1610612740
22400457,2025-01-01,34,24,39,3,1630530,Trey Murphy III,1610612740
22400472,2025-01-03,17,19,35,2,1630530,Trey Murphy III,1610612740
22400489,2025-01-05,22,19,29,2,1630530,Trey Murphy III,1610612740
