game_id,game_date,rebounds,minutes,fouls,player_id,player_name,team_id
0022200941,2023-03-01,5,32,1,1630530,Trey Murphy III,1610612740
0022200953,2023-03-03,2,38,2,1630530,Trey Murphy III,1610612740
0022200976,2023-03-06,5,37,0,1630530,Trey Murphy III,1610612740
0022200988,2023-03-08,6,38,2,1630530,Trey Murphy III,1610612740
0022201011,2023-03-11,4,41,4,1630530,Trey Murphy III,1610612740
0022201017,2023-03-12,7,30,2,1630530,Trey Murphy III,1610612740
0022201030,2023-03-14,3,38,1,1630530,Trey Murphy III,1610612740
0022201051,2023-03-17,4,37,2,1630530,Trey Murphy III,1610612740
0022201067,2023-03-19,4,38,0,1630530,Trey Murphy III,1610612740
0022201080,2023-03-21,3,31,1,1630530,Trey Murphy III,1610612740
0022201095,2023-03-23,2,33,0,1630530,Trey Murphy III,1610612740
0022201112,2023-03-25,2,37,3,1630530,Trey Murphy III,1610612740
0022201127,2023-03-27,2,28,3,1630530,Trey Murphy III,1610612740
0022201135,2023-03-28,3,38,3,1630530,Trey Murphy III,1610612740
0022201147,2023-03-30,2,39,1,1630530,Trey Murphy III,1610612740
0022201162,2023-04-01,4,39,2,1630530,Trey Murphy III,1610612740
0022201185,2023-04-04,2,36,2,1630530,Trey Murphy III,1610612740
0022201194,2023-04-05,2,46,3,1630530,Trey Murphy III,1610612740
0022201209,2023-04-07,3,39,2,1630530,Trey Murphy III,1610612740
0022201225,2023-04-09,4,40,2,1630530,Trey Murphy III,1610612740
0022300278,2023-12-01,3,22,0,1630530,Trey Murphy III,1610612740
0022301204,2023-12-04,2,30,1,1630530,Trey Murphy III,1610612740
0022301230,2023-12-07,3,22,1,1630530,Trey Murphy III,1610612740
0022300301,2023-12-11,3,24,0,1630530,Trey Murphy III,1610612740
0022300311,2023-12-13,6,33,0,1630530,Trey Murphy III,1610612740
0022300326,2023-12-15,6,25,2,1630530,Trey Murphy III,1610612740
0022300345,2023-12-17,4,25,1,1630530,Trey Murphy III,1610612740
0022300360,2023-12-19,3,21,2,1630530,Trey Murphy III,1610612740
0022300375,2023-12-21,4,28,1,1630530,Trey Murphy III,1610612740
0022300392,2023-12-23,6,34,2,1630530,Trey Murphy III,1610612740
0022300410,2023-12-26,7,36,2,1630530,Trey Murphy III,1610612740
0022300424,2023-12-28,1,23,2,1630530,Trey Murphy III,1610612740
0022300486,2024-01-05,2,17,0,1630530,Trey Murphy III,1610612740
0022300500,2024-01-07,2,24,1,1630530,Trey Murphy III,1610612740
0022300525,2024-01-10,4,24,2,1630530,Trey Murphy III,1610612740
0022300539,2024-01-12,3,28,0,1630530,Trey Murphy III,1610612740
0022300556,2024-01-15,3,22,0,1630530,Trey Murphy III,1610612740
0022300575,2024-01-17,5,24,2,1630530,Trey Murphy III,1610612740
0022300588,2024-01-19,2,24,3,1630530,Trey Murphy III,1610612740
0022300616,2024-01-23,4,25,2,1630530,Trey Murphy III,1610612740
0022300640,2024-01-26,7,28,1,1630530,Trey Murphy III,1610612740
0022300659,2024-01-29,4,28,3,1630530,Trey Murphy III,1610612740
0022300679,2024-01-31,6,27,1,1630530,Trey Murphy III,1610612740
0022300696,2024-02-02,1,27,0,1630530,Trey Murphy III,1610612740
0022300718,2024-02-05,6,25,1,1630530,Trey Murphy III,1610612740
0022300731,2024-02-07,1,23,2,1630530,Trey Murphy III,1610612740
0022300747,2024-02-09,1,19,1,1630530,Trey Murphy III,1610612740
0022300758,2024-02-10,5,30,1,1630530,Trey Murphy III,1610612740
0022300766,2024-02-12,3,25,0,1630530,Trey Murphy III,1610612740
0022300784,2024-02-14,5,31,3,1630530,Trey Murphy III,1610612740
0022300798,2024-02-22,3,34,3,1630530,Trey Murphy III,1610612740
0022300810,2024-02-23,6,32,0,1630530,Trey Murphy III,1610612740
0022300823,2024-02-25,10,37,1,1630530,Trey Murphy III,1610612740
0022300837,2024-02-27,7,36,3,1630530,Trey Murphy III,1610612740
0022300843,2024-02-28,4,31,0,1630530,Trey Murphy III,1610612740
0022300863,2024-03-01,7,28,2,1630530,Trey Murphy III,1610612740
0022300890,2024-03-05,6,29,0,1630530,Trey Murphy III,1610612740
0022300909,2024-03-08,3,28,1,1630530,Trey Murphy III,1610612740
0022300925,2024-03-10,7,30,1,1630530,Trey Murphy III,1610612740
0022300951,2024-03-13,1,28,3,1630530,Trey Murphy III,1610612740
0022300964,2024-03-15,6,32,0,1630530,Trey Murphy III,1610612740
0022300970,2024-03-16,6,35,0,1630530,Trey Murphy III,1610612740
0022300993,2024-03-19,8,30,1,1630530,Trey Murphy III,1610612740
0022301004,2024-03-21,3,29,0,1630530,Trey Murphy III,1610612740
0022301013,2024-03-22,8,30,1,1630530,Trey Murphy III,1610612740
