Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,AAPL,AAPL,AAPL,AAPL,,,,,,,
2020-01-23,77.37198638916016,77.45196545033632,76.50429530744599,77.05448142476102,2020,1,23,AAPL,0,0,0
2020-01-28,76.99873352050781,77.17081461349557,75.66569492593983,75.76506778148637,2020,1,28,AAPL,0,0,0
2020-02-07,77.74995422363281,78.568680490216,77.25677448183865,78.31844658012572,2020,2,7,AAPL,0,0,0
2020-02-12,79.49188995361328,79.49674620182785,78.09980747878139,78.09980747878139,2020,2,12,AAPL,1,1,0
2020-02-27,66.4505386352539,69.48250516613125,66.3144895679182,68.29207211988479,2020,2,27,AAPL,0,0,0
2020-03-03,70.28909301757812,73.85553621045779,69.43391890589473,73.77536734454684,2020,3,3,AAPL,1,1,1
2020-03-13,67.53166961669922,68.00541706978933,61.45316238600461,64.35394062468555,2020,3,13,AAPL,0,0,0
2020-03-18,59.92745590209961,60.736466075066666,57.60732215662013,58.25113092125165,2020,3,18,AAPL,0,0,0
2020-03-23,54.50975036621094,55.5131177507659,51.652708966620814,55.411080955108275,2020,3,23,AAPL,0,0,0
2020-04-02,59.50471878051758,59.558167158261334,57.553864114047784,58.3895983401584,2020,4,2,AAPL,1,1,1
2020-04-07,63.02743911743164,66.00838939615302,62.92297418292573,65.78973220321843,2020,4,7,AAPL,1,1,1
2020-04-17,68.70507049560547,69.71330151482101,67.26197182482458,69.16424162454373,2020,4,17,AAPL,1,1,1
2020-04-22,67.07734680175781,67.51464634090605,66.12985952419092,66.47240662852322,2020,4,22,AAPL,0,0,0
2020-04-27,68.79497528076172,69.12780988807344,68.01268939638848,68.4621332593315,2020,4,27,AAPL,1,1,0
2020-05-07,73.79237365722656,74.13979187417405,73.36236215111808,73.66604447823067,2020,5,7,AAPL,1,1,1
2020-05-12,75.86056518554688,77.87760182453242,75.73876343818256,77.42449545855905,2020,5,12,AAPL,1,1,0
2020-05-22,77.68274688720703,77.76557120984396,76.82038815804805,76.92269749546205,2020,5,22,AAPL,1,1,0
2020-05-27,77.49270629882812,77.63886988657548,76.26981939752606,77.01281453766303,2020,5,27,AAPL,0,0,0
2020-06-01,78.40379333496094,78.52559509330818,77.2734694490876,77.40501742967564,2020,6,1,AAPL,1,0,0
