Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,ADBE,ADBE,ADBE,ADBE,,,,,,,
2020-01-23,351.760009765625,352.1600036621094,347.8500061035156,351.0199890136719,2020,1,23,ADBE,0,0,0
2020-01-28,354.6300048828125,355.6600036621094,347.1199951171875,349.0,2020,1,28,ADBE,0,0,0
2020-02-07,366.0899963378906,369.3399963378906,364.3800048828125,366.0,2020,2,7,ADBE,1,1,1
2020-02-12,374.2900085449219,374.42999267578125,367.1499938964844,370.6400146484375,2020,2,12,ADBE,1,1,0
2020-02-27,337.5199890136719,352.239990234375,337.2699890136719,340.0,2020,2,27,ADBE,0,0,0
2020-03-03,348.3399963378906,364.95001220703125,344.0400085449219,361.760009765625,2020,3,3,ADBE,1,1,1
2020-03-13,335.5,336.0,298.0,312.8800048828125,2020,3,13,ADBE,0,0,0
2020-03-18,294.6099853515625,296.8699951171875,255.1300048828125,290.0,2020,3,18,ADBE,0,0,0
2020-03-23,307.2699890136719,312.489990234375,287.7799987792969,296.6700134277344,2020,3,23,ADBE,1,1,1
2020-04-02,303.9599914550781,306.5,293.17999267578125,297.760009765625,2020,4,2,ADBE,0,0,0
2020-04-07,308.92999267578125,328.32000732421875,306.29998779296875,327.4100036621094,2020,4,7,ADBE,1,0,0
2020-04-17,344.1099853515625,350.3800048828125,340.5,350.0899963378906,2020,4,17,ADBE,1,1,1
2020-04-22,336.7699890136719,339.3800048828125,332.79998779296875,337.4100036621094,2020,4,22,ADBE,0,0,0
2020-04-27,348.5,349.9599914550781,345.1199951171875,348.79998779296875,2020,4,27,ADBE,1,1,1
2020-05-07,366.7799987792969,369.5,365.5,368.82000732421875,2020,5,7,ADBE,1,1,1
2020-05-12,365.1000061035156,372.7200012207031,364.54998779296875,371.4599914550781,2020,5,12,ADBE,0,0,0
2020-05-22,385.260009765625,386.5199890136719,380.95001220703125,381.3900146484375,2020,5,22,ADBE,1,1,1
2020-05-27,375.1700134277344,375.70001220703125,361.44000244140625,373.239990234375,2020,5,27,ADBE,0,0,0
2020-06-01,389.67999267578125,389.989990234375,382.8999938964844,387.0799865722656,2020,6,1,ADBE,1,1,1
2020-06-11,387.6700134277344,404.20001220703125,387.3699951171875,400.0,2020,6,11,ADBE,0,0,0
2020-06-16,411.6700134277344,414.67999267578125,405.4800109863281,407.8299865722656,2020,6,16,ADBE,1,1,1
2020-06-26,426.9200134277344,438.17999267578125,424.7099914550781,436.0,2020,6,26,ADBE,1,1,1
2020-07-01,439.80999755859375,442.04998779296875,433.6199951171875,434.79998779296875,2020,7,1,ADBE,1,1,1
2020-07-06,452.5899963378906,455.5299987792969,444.69000244140625,448.0,2020,7,6,ADBE,1,1,0
2020-07-16,426.2900085449219,430.5899963378906,418.510009765625,428.42999267578125,2020,7,16,ADBE,0,0,0
2020-07-21,444.2799987792969,456.989990234375,441.75,456.07000732421875,2020,7,21,ADBE,1,1,1
2020-07-31,444.32000732421875,444.44000244140625,434.79998779296875,441.9800109863281,2020,7,31,ADBE,0,0,0
2020-08-05,449.510009765625,454.0400085449219,446.3500061035156,449.0899963378906,2020,8,5,ADBE,1,0,0
2020-08-10,443.2900085449219,451.1300048828125,436.5,450.3699951171875,2020,8,10,ADBE,0,0,0
2020-08-20,478.4800109863281,479.79998779296875,458.8900146484375,460.989990234375,2020,8,20,ADBE,1,1,1
2020-08-25,484.42999267578125,484.6499938964844,474.42999267578125,476.6700134277344,2020,8,25,ADBE,1,0,0
2020-09-04,491.94000244140625,511.3500061035156,471.7099914550781,504.6499938964844,2020,9,4,ADBE,1,0,0
2020-09-09,479.4599914550781,483.489990234375,462.4800109863281,473.9100036621094,2020,9,9,ADBE,0,0,0
2020-09-14,485.9100036621094,490.44000244140625,476.8699951171875,484.989990234375,2020,9,14,ADBE,1,0,0
2020-09-24,467.6700134277344,471.42999267578125,460.2699890136719,466.92999267578125,2020,9,24,ADBE,0,0,0
2020-09-29,489.3299865722656,493.45001220703125,484.1700134277344,489.94000244140625,2020,9,29,ADBE,1,1,1
2020-10-09,502.1600036621094,502.1700134277344,491.17999267578125,491.7699890136719,2020,10,9,ADBE,1,1,0
2020-10-14,506.30999755859375,516.9500122070312,501.6000061035156,514.3400268554688,2020,10,14,ADBE,0,0,0
2020-10-19,495.20001220703125,507.75,493.20001220703125,507.75,2020,10,19,ADBE,0,0,0
2020-10-29,461.1099853515625,464.7300109863281,457.2799987792969,459.32000732421875,2020,10,29,ADBE,0,0,0
2020-11-03,454.0199890136719,457.8399963378906,445.6700134277344,448.989990234375,2020,11,3,ADBE,0,0,0
2020-11-13,469.3399963378906,470.6000061035156,459.0,467.45001220703125,2020,11,13,ADBE,1,1,1
2020-11-18,459.4700012207031,467.8999938964844,459.260009765625,466.7099914550781,2020,11,18,ADBE,0,0,0
2020-11-23,460.6099853515625,467.0,456.1700134277344,464.6300048828125,2020,11,23,ADBE,0,0,0
2020-12-03,484.2799987792969,492.80999755859375,481.5,482.2099914550781,2020,12,3,ADBE,1,1,1
2020-12-08,495.2799987792969,496.0400085449219,486.20001220703125,492.2900085449219,2020,12,8,ADBE,1,1,0
2020-12-18,502.95001220703125,504.07000732421875,493.57000732421875,497.6099853515625,2020,12,18,ADBE,1,0,0
2020-12-23,496.9100036621094,505.4599914550781,496.5899963378906,505.1300048828125,2020,12,23,ADBE,0,0,0
2020-12-28,498.95001220703125,506.0400085449219,496.82000732421875,505.6099853515625,2020,12,28,ADBE,0,0,0
2021-01-07,477.739990234375,479.6400146484375,468.25,471.0,2021,1,7,ADBE,0,0,0
2021-01-12,471.6499938964844,475.0,464.0,474.4100036621094,2021,1,12,ADBE,0,0,0
2021-01-22,472.44000244140625,476.3500061035156,470.6099853515625,472.5,2021,1,22,ADBE,0,0,0
2021-01-27,460.0,473.6700134277344,455.07000732421875,470.989990234375,2021,1,27,ADBE,0,0,0
2021-02-01,470.0,474.79998779296875,459.82000732421875,462.2799987792969,2021,2,1,ADBE,1,1,0
2021-02-11,496.6199951171875,497.0,491.0799865722656,494.5299987792969,2021,2,11,ADBE,1,1,1
2021-02-16,501.6400146484375,506.510009765625,497.6000061035156,500.0299987792969,2021,2,16,ADBE,1,0,0
2021-02-26,459.6700134277344,467.32000732421875,456.010009765625,462.79998779296875,2021,2,26,ADBE,0,0,0
2021-03-03,448.45001220703125,464.67999267578125,448.0899963378906,463.2200012207031,2021,3,3,ADBE,0,0,0
2021-03-08,421.20001220703125,440.989990234375,420.7799987792969,439.760009765625,2021,3,8,ADBE,0,0,0
2021-03-18,439.17999267578125,446.8599853515625,438.5,443.1600036621094,2021,3,18,ADBE,1,1,1
2021-03-23,460.20001220703125,466.8800048828125,456.4100036621094,457.3500061035156,2021,3,23,ADBE,1,1,1
2021-04-07,493.4100036621094,494.8500061035156,487.8900146484375,492.9800109863281,2021,4,7,ADBE,1,1,1
2021-04-12,506.0299987792969,506.94000244140625,498.44000244140625,499.2900085449219,2021,4,12,ADBE,1,1,0
2021-04-22,507.2900085449219,512.77001953125,504.05999755859375,508.0799865722656,2021,4,22,ADBE,0,0,0
2021-04-27,517.3200073242188,519.1599731445312,511.3500061035156,518.0,2021,4,27,ADBE,1,0,0
2021-05-07,488.7300109863281,499.1499938964844,485.7799987792969,496.0,2021,5,7,ADBE,0,0,0
2021-05-12,472.0899963378906,480.989990234375,469.57000732421875,477.19000244140625,2021,5,12,ADBE,0,0,0
2021-05-17,482.739990234375,487.8699951171875,478.1099853515625,487.0299987792969,2021,5,17,ADBE,1,1,0
2021-05-27,498.2799987792969,505.0,497.45001220703125,505.0,2021,5,27,ADBE,1,1,1
2021-06-01,495.9100036621094,506.0,492.30999755859375,504.5400085449219,2021,6,1,ADBE,0,0,0
2021-06-11,541.260009765625,541.8499755859375,529.75,529.75,2021,6,11,ADBE,1,1,1
2021-06-16,543.3300170898438,553.989990234375,535.719970703125,548.4600219726562,2021,6,16,ADBE,0,0,0
2021-06-21,567.3499755859375,570.1900024414062,560.3499755859375,565.989990234375,2021,6,21,ADBE,1,1,1
2021-07-01,584.72998046875,587.780029296875,581.3499755859375,583.3300170898438,2021,7,1,ADBE,1,1,1
2021-07-06,596.9000244140625,600.6599731445312,592.47998046875,595.8699951171875,2021,7,6,ADBE,1,1,0
2021-07-16,606.0999755859375,611.6199951171875,603.6599731445312,608.7100219726562,2021,7,16,ADBE,1,0,0
2021-07-21,612.260009765625,612.5800170898438,603.3200073242188,605.719970703125,2021,7,21,ADBE,1,0,0
2021-07-26,620.7999877929688,625.8699951171875,619.72998046875,624.1799926757812,2021,7,26,ADBE,1,0,0
2021-08-05,632.0800170898438,632.469970703125,623.0,626.989990234375,2021,8,5,ADBE,1,0,0
2021-08-10,621.739990234375,633.2999877929688,620.5999755859375,630.47998046875,2021,8,10,ADBE,0,0,0
2021-08-20,647.3400268554688,652.0,634.530029296875,639.8400268554688,2021,8,20,ADBE,1,1,1
2021-08-25,656.7999877929688,661.0599975585938,651.6400146484375,658.6099853515625,2021,8,25,ADBE,1,0,0
2021-08-30,665.989990234375,667.6699829101562,659.780029296875,659.780029296875,2021,8,30,ADBE,1,0,0
2021-09-09,661.6799926757812,667.4600219726562,659.9299926757812,664.8400268554688,2021,9,9,ADBE,0,0,0
2021-09-14,645.010009765625,649.5800170898438,642.4600219726562,646.0,2021,9,14,ADBE,0,0,0
2021-09-24,622.7100219726562,629.030029296875,618.219970703125,628.0,2021,9,24,ADBE,0,0,0
2021-09-29,577.7000122070312,586.5499877929688,576.0700073242188,585.4500122070312,2021,9,29,ADBE,0,0,0
2021-10-04,558.489990234375,576.7999877929688,552.1400146484375,574.5900268554688,2021,10,4,ADBE,0,0,0
2021-10-14,607.510009765625,609.4400024414062,596.969970703125,600.0,2021,10,14,ADBE,1,1,1
2021-10-19,636.0700073242188,639.3900146484375,625.260009765625,625.260009765625,2021,10,19,ADBE,1,1,1
2021-10-29,650.3599853515625,651.3099975585938,637.0,637.77001953125,2021,10,29,ADBE,1,1,0
2021-11-03,655.1799926757812,656.5,640.0,645.52001953125,2021,11,3,ADBE,0,0,0
2021-11-08,666.02001953125,668.25,661.4000244140625,666.5599975585938,2021,11,8,ADBE,1,0,0
2021-11-18,670.9600219726562,676.5499877929688,665.0800170898438,670.6199951171875,2021,11,18,ADBE,0,0,0
2021-11-23,665.1599731445312,667.5700073242188,648.6099853515625,662.7000122070312,2021,11,23,ADBE,0,0,0
2021-12-03,616.530029296875,662.0900268554688,604.2999877929688,658.0999755859375,2021,12,3,ADBE,0,0,0
2021-12-08,653.0999755859375,654.6500244140625,641.6099853515625,647.2999877929688,2021,12,8,ADBE,1,1,1
2021-12-13,658.2999877929688,675.2100219726562,650.97998046875,652.77001953125,2021,12,13,ADBE,0,0,0
2021-12-23,569.6199951171875,572.5700073242188,566.1599731445312,568.9600219726562,2021,12,23,ADBE,0,0,0
2021-12-28,569.3599853515625,582.8800048828125,568.3499755859375,582.8400268554688,2021,12,28,ADBE,0,0,0
2022-01-07,510.70001220703125,520.4199829101562,504.0,513.6599731445312,2022,1,7,ADBE,0,0,0
2022-01-12,532.3699951171875,541.5900268554688,529.280029296875,533.0900268554688,2022,1,12,ADBE,1,1,1
2022-01-27,493.04998779296875,513.22998046875,485.6199951171875,508.94000244140625,2022,1,27,ADBE,0,0,0
2022-02-01,535.97998046875,538.77001953125,527.719970703125,536.0,2022,2,1,ADBE,1,1,1
2022-02-11,473.9700012207031,499.92999267578125,472.8999938964844,497.9200134277344,2022,2,11,ADBE,0,0,0
