Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,ANET,ANET,ANET,ANET,,,,,,,
2020-01-23,14.37874984741211,14.436249732971191,13.842499732971191,14.008749961853027,2020,1,23,ANET,0,0,0
2020-01-28,14.795000076293945,14.864999771118164,14.671875,14.71500015258789,2020,1,28,ANET,1,1,0
2020-02-07,14.485625267028809,14.588125228881836,14.405312538146973,14.411250114440918,2020,2,7,ANET,0,0,0
2020-02-12,14.6537504196167,14.698749542236328,14.439374923706055,14.489375114440918,2020,2,12,ANET,1,0,0
2020-02-27,12.073749542236328,12.716875076293945,12.065625190734863,12.440625190734863,2020,2,27,ANET,0,0,0
2020-03-03,11.984375,12.428125381469727,11.788749694824219,12.280625343322754,2020,3,3,ANET,0,0,0
2020-03-13,11.047499656677246,11.065625190734863,9.839374542236328,10.716875076293945,2020,3,13,ANET,0,0,0
2020-03-18,11.0625,11.582500457763672,9.858124732971191,9.858124732971191,2020,3,18,ANET,0,0,0
2020-03-23,10.117500305175781,10.478124618530273,9.789375305175781,10.246874809265137,2020,3,23,ANET,0,0,0
2020-04-02,12.131250381469727,12.383125305175781,11.81624984741211,11.890625,2020,4,2,ANET,1,1,1
2020-04-07,13.071249961853027,13.46500015258789,12.960624694824219,13.3125,2020,4,7,ANET,1,1,1
2020-04-17,13.126250267028809,13.238750457763672,12.840624809265137,13.123125076293945,2020,4,17,ANET,0,0,0
2020-04-22,13.210624694824219,13.30062484741211,12.814374923706055,12.930000305175781,2020,4,22,ANET,0,0,0
2020-04-27,13.619375228881836,13.788125038146973,13.484063148498535,13.6875,2020,4,27,ANET,1,1,1
2020-05-07,13.151874542236328,13.4087495803833,13.102499961853027,13.263750076293945,2020,5,7,ANET,0,0,0
2020-05-12,13.818750381469727,14.344374656677246,13.79312515258789,14.256875038146973,2020,5,12,ANET,1,1,1
2020-05-22,13.760624885559082,14.112500190734863,13.646875381469727,14.05875015258789,2020,5,22,ANET,0,0,0
2020-05-27,14.20687484741211,14.21500015258789,13.673125267028809,13.954999923706055,2020,5,27,ANET,1,1,1
2020-06-01,14.664999961853027,14.75,14.390000343322754,14.561875343322754,2020,6,1,ANET,1,1,1
2020-06-11,13.675000190734863,14.25,13.603124618530273,14.25,2020,6,11,ANET,0,0,0
2020-06-16,14.34749984741211,14.704999923706055,14.246874809265137,14.630000114440918,2020,6,16,ANET,1,1,1
2020-06-26,13.164375305175781,13.296313285827637,12.981249809265137,13.241874694824219,2020,6,26,ANET,0,0,0
2020-07-01,13.09000015258789,13.186249732971191,12.9556245803833,13.161874771118164,2020,7,1,ANET,0,0,0
2020-07-06,13.403124809265137,13.518750190734863,13.318750381469727,13.423125267028809,2020,7,6,ANET,1,1,0
2020-07-16,13.444999694824219,13.454999923706055,13.08187484741211,13.320625305175781,2020,7,16,ANET,0,0,0
2020-07-21,14.2993745803833,14.351249694824219,14.038687705993652,14.159375190734863,2020,7,21,ANET,1,1,1
2020-07-31,16.235624313354492,16.237499237060547,15.625624656677246,15.836874961853027,2020,7,31,ANET,1,1,1
2020-08-05,14.695625305175781,15.500624656677246,14.631875038146973,15.5,2020,8,5,ANET,0,0,0
2020-08-10,13.904375076293945,14.453437805175781,13.870624542236328,14.397500038146973,2020,8,10,ANET,0,0,0
2020-08-20,13.836250305175781,13.963125228881836,13.651874542236328,13.719374656677246,2020,8,20,ANET,0,0,0
2020-08-25,13.714374542236328,13.788125038146973,13.601249694824219,13.638750076293945,2020,8,25,ANET,0,0,0
2020-09-04,13.193750381469727,13.618749618530273,12.892499923706055,13.535625457763672,2020,9,4,ANET,0,0,0
2020-09-09,13.23812484741211,13.318750381469727,13.007499694824219,13.170000076293945,2020,9,9,ANET,0,0,0
2020-09-14,12.845624923706055,13.025938034057617,12.8125,12.927499771118164,2020,9,14,ANET,0,0,0
2020-09-24,12.4037504196167,12.578749656677246,12.270000457763672,12.2993745803833,2020,9,24,ANET,0,0,0
2020-09-29,13.1537504196167,13.25,12.809374809265137,12.817500114440918,2020,9,29,ANET,1,1,1
2020-10-09,14.225625038146973,14.25,13.90625,14.039375305175781,2020,10,9,ANET,1,1,1
2020-10-14,14.251874923706055,14.579999923706055,14.137499809265137,14.256250381469727,2020,10,14,ANET,0,0,0
2020-10-19,13.851875305175781,14.190937995910645,13.834375381469727,14.184374809265137,2020,10,19,ANET,0,0,0
2020-10-29,12.697500228881836,12.8568754196167,12.582500457763672,12.770625114440918,2020,10,29,ANET,0,0,0
2020-11-03,15.593125343322754,16.188125610351562,14.952813148498535,15.194999694824219,2020,11,3,ANET,1,1,1
2020-11-13,17.116249084472656,17.145000457763672,16.696874618530273,16.94499969482422,2020,11,13,ANET,1,1,1
2020-11-18,17.001874923706055,17.521875381469727,16.98812484741211,17.42937469482422,2020,11,18,ANET,0,0,0
2020-11-23,16.778749465942383,16.934375762939453,16.563125610351562,16.685625076293945,2020,11,23,ANET,0,0,0
2020-12-03,16.85562515258789,17.028749465942383,16.813125610351562,16.906875610351562,2020,12,3,ANET,0,0,0
2020-12-08,17.731250762939453,18.0625,17.348125457763672,17.371875762939453,2020,12,8,ANET,1,1,1
2020-12-18,17.982500076293945,18.186250686645508,17.79312515258789,17.974374771118164,2020,12,18,ANET,1,0,0
2020-12-23,17.905624389648438,18.275625228881836,17.899375915527344,18.131874084472656,2020,12,23,ANET,0,0,0
2020-12-28,18.18375015258789,18.361249923706055,18.163124084472656,18.263750076293945,2020,12,28,ANET,1,0,0
2021-01-07,18.498125076293945,18.511249542236328,18.1278133392334,18.309375762939453,2021,1,7,ANET,1,0,0
2021-01-12,19.767499923706055,19.805625915527344,18.917499542236328,18.934999465942383,2021,1,12,ANET,1,1,1
2021-01-22,19.450624465942383,19.53093719482422,19.24187469482422,19.443124771118164,2021,1,22,ANET,0,0,0
2021-01-27,19.10562515258789,19.299999237060547,18.8018741607666,19.05875015258789,2021,1,27,ANET,0,0,0
2021-02-01,19.762500762939453,19.971250534057617,19.3700008392334,19.375,2021,2,1,ANET,1,1,1
2021-02-11,19.878124237060547,19.997499465942383,19.642499923706055,19.953750610351562,2021,2,11,ANET,0,0,0
2021-02-16,19.916250228881836,20.387500762939453,19.880624771118164,20.3125,2021,2,16,ANET,0,0,0
2021-02-26,17.489999771118164,17.794374465942383,17.338125228881836,17.629375457763672,2021,2,26,ANET,0,0,0
2021-03-03,17.43375015258789,17.801250457763672,17.331249237060547,17.801250457763672,2021,3,3,ANET,0,0,0
2021-03-08,16.7393741607666,17.319374084472656,16.733749389648438,17.042499542236328,2021,3,8,ANET,0,0,0
2021-03-18,17.737499237060547,18.0625,17.72624969482422,17.829999923706055,2021,3,18,ANET,1,1,1
2021-03-23,17.875625610351562,18.245624542236328,17.774375915527344,18.139999389648438,2021,3,23,ANET,0,0,0
2021-04-07,19.238750457763672,19.333749771118164,19.075624465942383,19.271249771118164,2021,4,7,ANET,1,1,1
2021-04-12,19.625625610351562,19.778749465942383,19.46031379699707,19.6875,2021,4,12,ANET,1,1,0
2021-04-22,19.5518741607666,19.7706241607666,19.450000762939453,19.732500076293945,2021,4,22,ANET,0,0,0
2021-04-27,19.938749313354492,20.141874313354492,19.831249237060547,20.141874313354492,2021,4,27,ANET,1,0,0
2021-05-07,20.532499313354492,20.6875,20.346874237060547,20.593124389648438,2021,5,7,ANET,1,1,0
2021-05-12,19.735624313354492,20.229063034057617,19.665000915527344,20.171249389648438,2021,5,12,ANET,0,0,0
2021-05-17,20.361875534057617,20.451250076293945,20.213125228881836,20.285625457763672,2021,5,17,ANET,1,1,1
2021-05-27,21.06999969482422,21.264375686645508,21.05437469482422,21.204999923706055,2021,5,27,ANET,1,1,1
2021-06-01,20.92937469482422,21.220312118530273,20.91812515258789,21.16437530517578,2021,6,1,ANET,0,0,0
2021-06-11,22.749374389648438,23.128124237060547,22.583749771118164,23.125,2021,6,11,ANET,1,1,1
2021-06-16,22.991249084472656,23.030000686645508,22.5262508392334,22.671875,2021,6,16,ANET,1,0,0
2021-06-21,23.09375,23.34375,22.681875228881836,22.860000610351562,2021,6,21,ANET,0,0,0
2021-07-01,22.711875915527344,22.926250457763672,22.569374084472656,22.711875915527344,2021,7,1,ANET,0,0,0
2021-07-06,23.433124542236328,23.4375,22.988750457763672,23.0731258392334,2021,7,6,ANET,1,1,1
2021-07-16,22.715625762939453,23.140625,22.690624237060547,23.003124237060547,2021,7,16,ANET,0,0,0
2021-07-21,22.9481258392334,22.961875915527344,22.59000015258789,22.813125610351562,2021,7,21,ANET,1,0,0
2021-07-26,23.58562469482422,23.81624984741211,23.368749618530273,23.81624984741211,2021,7,26,ANET,1,1,0
2021-08-05,23.787500381469727,23.936874389648438,23.666250228881836,23.84375,2021,8,5,ANET,0,0,0
2021-08-10,23.231250762939453,23.4893741607666,23.114999771118164,23.40250015258789,2021,8,10,ANET,0,0,0
2021-08-20,23.116249084472656,23.159374237060547,22.90999984741211,22.953750610351562,2021,8,20,ANET,0,0,0
2021-08-25,23.38249969482422,23.697500228881836,23.295000076293945,23.484375,2021,8,25,ANET,1,0,0
2021-08-30,23.256250381469727,23.3956241607666,23.090625762939453,23.346874237060547,2021,8,30,ANET,0,0,0
2021-09-09,22.38312530517578,22.660625457763672,22.372499465942383,22.572500228881836,2021,9,9,ANET,0,0,0
2021-09-14,22.360000610351562,22.549999237060547,22.140625,22.5,2021,9,14,ANET,0,0,0
2021-09-24,22.509374618530273,22.579999923706055,22.254375457763672,22.254375457763672,2021,9,24,ANET,0,0,0
2021-09-29,21.623750686645508,21.83625030517578,21.606250762939453,21.744375228881836,2021,9,29,ANET,0,0,0
2021-10-04,21.482500076293945,21.8231258392334,21.345874786376953,21.8231258392334,2021,10,4,ANET,0,0,0
2021-10-14,24.701875686645508,24.70687484741211,24.04718780517578,24.0625,2021,10,14,ANET,1,1,1
2021-10-19,24.352500915527344,24.360000610351562,23.958749771118164,24.02375030517578,2021,10,19,ANET,0,0,0
2021-10-29,25.60562515258789,25.696874618530273,25.09749984741211,25.27750015258789,2021,10,29,ANET,1,1,1
2021-11-03,32.11249923706055,32.330623626708984,30.406875610351562,30.689374923706055,2021,11,3,ANET,1,1,1
2021-11-08,32.901248931884766,33.49506378173828,32.375,33.15625,2021,11,8,ANET,1,1,0
2021-11-18,33.13750076293945,33.3125,32.25,32.5,2021,11,18,ANET,0,0,0
