Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,AVGO,AVGO,AVGO,AVGO,,,,,,,
2020-01-23,27.748327255249023,27.761347995765433,26.98180897713232,27.36029296160658,2020,1,23,AVGO,0,0,0
2020-01-28,27.632003784179688,27.71186841177092,27.151085770144014,27.21706039336367,2020,1,28,AVGO,0,0,0
2020-02-07,27.36463737487793,27.650236024806507,27.333385276104657,27.632875587421722,2020,2,7,AVGO,0,0,0
2020-02-12,28.18670654296875,28.220559800721123,27.920201962057746,27.95579374669264,2020,2,12,AVGO,1,1,1
2020-02-27,23.78118133544922,24.76732530060114,23.745589543976706,24.332415332118533,2020,2,27,AVGO,0,0,0
2020-03-03,23.80722427368164,25.042509198962357,23.574577858817637,24.710033233739335,2020,3,3,AVGO,0,0,0
2020-03-13,20.332277297973633,20.35397908078871,17.462388303693576,19.57617539582821,2020,3,13,AVGO,0,0,0
2020-03-18,14.572538375854492,16.274851194799144,13.513474813875051,16.116860468757544,2020,3,18,AVGO,0,0,0
2020-03-23,17.080310821533203,17.301020889163386,15.692485471729187,17.028223232101407,2020,3,23,AVGO,1,1,1
2020-04-02,20.928611755371094,21.007185162325744,19.550498993252578,19.634368216178945,2020,4,2,AVGO,1,1,1
2020-04-07,22.359695434570312,23.439408717858484,22.294365779340882,23.116289862990325,2020,4,7,AVGO,1,1,1
2020-04-17,23.47295570373535,23.60979654702795,22.860264362111373,23.238121223878267,2020,4,17,AVGO,1,1,1
2020-04-22,22.95119857788086,23.14983797807079,22.13633670138266,22.49212122719396,2020,4,22,AVGO,0,0,0
2020-04-27,23.699846267700195,23.944393397882237,23.33788189437225,23.33788189437225,2020,4,27,AVGO,1,1,1
2020-05-07,23.63804817199707,23.87818184637579,23.483551796473797,23.83668757187285,2020,5,7,AVGO,0,0,0
2020-05-12,23.699846267700195,24.51823923238624,23.67954199238321,24.417596843337844,2020,5,12,AVGO,0,0,0
2020-05-22,24.42378044128418,24.476750393725013,23.881716153523563,24.16687356192528,2020,5,22,AVGO,1,1,1
