Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,CRM,CRM,CRM,CRM,,,,,,,
2020-01-23,182.95809936523438,183.2763292444693,180.29299240980308,182.1923871696425,2020,1,23,CRM,0,0,0
2020-01-28,181.83436584472656,182.83875033762726,179.3482520933578,180.1338573622153,2020,1,28,CRM,0,0,0
2020-02-07,184.68844604492188,187.60216449558015,184.61882756636953,185.8121744772828,2020,2,7,CRM,1,0,0
2020-02-12,188.4076690673828,189.46177897002514,185.73260798952515,188.65628046608282,2020,2,12,CRM,1,1,0
2020-02-27,171.19381713867188,177.33949930989834,169.10549032245845,171.25349662545239,2020,2,27,CRM,0,0,0
2020-03-03,168.4292449951172,177.42898063398533,166.16191026017162,177.419041640722,2020,3,3,CRM,0,0,0
2020-03-13,146.95916748046875,148.669615102257,134.5683839767639,148.6397829486008,2020,3,13,CRM,0,0,0
2020-03-18,131.5054931640625,132.67893170242235,114.64963549222915,124.84270301294488,2020,3,18,CRM,0,0,0
2020-03-23,139.73951721191406,142.92174048996014,133.34522332402435,137.98928302846056,2020,3,23,CRM,1,1,1
2020-04-02,133.57394409179688,134.63799302369864,129.31770284208162,133.26565320079894,2020,4,2,CRM,0,0,0
2020-04-07,144.2642364501953,149.9624057254532,143.70733414494143,149.49501506017353,2020,4,7,CRM,1,1,1
2020-04-17,161.7167510986328,162.35319572479622,156.75447688299585,159.11130828121964,2020,4,17,CRM,1,1,1
2020-04-22,153.28384399414062,154.83517670044387,149.83311655233516,153.14462221726816,2020,4,22,CRM,0,0,0
2020-04-27,156.7544708251953,157.55996936439448,153.34351439523445,154.6760679088241,2020,4,27,CRM,1,1,0
2020-05-07,168.95631408691406,170.31871497979967,165.09787518685218,165.5752048620485,2020,5,7,CRM,1,1,1
2020-05-12,176.55386352539062,182.00343628863004,176.02680857615564,181.98354312808283,2020,5,12,CRM,1,1,1
2020-05-22,176.86216735839844,177.64777275614415,174.4754886611,175.61911027877528,2020,5,22,CRM,0,0,0
2020-05-27,175.61907958984375,175.62901858209074,170.4181187522471,175.3107887417794,2020,5,27,CRM,0,0,0
2020-06-01,175.38043212890625,176.53399270289003,171.72086431551816,172.1385448337823,2020,6,1,CRM,0,0,0
2020-06-11,171.0943603515625,177.43891265850735,171.04463503912785,175.6588617960127,2020,6,11,CRM,0,0,0
2020-06-16,179.4775390625,181.48632343915935,177.0212571970992,179.01014841287082,2020,6,16,CRM,1,1,1
2020-06-26,182.15260314941406,187.17455658603382,182.00344237541026,186.95577733480425,2020,6,26,CRM,1,0,0
2020-07-01,190.8241729736328,191.74901530797945,186.41878607841136,187.05523068011937,2020,7,1,CRM,1,1,1
2020-07-06,196.6217803955078,198.34216699233804,192.76332670699966,193.36000012189473,2020,7,6,CRM,1,1,1
2020-07-16,184.47959899902344,185.82210663741174,180.91948190687182,185.38454814270634,2020,7,16,CRM,0,0,0
2020-07-21,189.74021911621094,195.40855586999928,188.42754367110453,194.911333081526,2020,7,21,CRM,1,1,0
2020-07-31,193.76773071289062,193.90695248955794,189.61094022547707,191.9280002881824,2020,7,31,CRM,1,1,0
2020-08-05,201.5144500732422,202.76744603112374,200.4603401949241,201.67356500650703,2020,8,5,CRM,1,1,1
2020-08-10,196.0648956298828,200.36089267643376,194.63289155635402,199.28688962128717,2020,8,10,CRM,0,0,0
2020-08-20,208.34629821777344,208.9429716646408,202.37962444524442,202.71774749128846,2020,8,20,CRM,1,1,1
2020-08-25,214.8499755859375,217.1372035078893,209.62913616962908,212.03569270826222,2020,8,25,CRM,1,1,1
2020-09-04,253.28529357910156,264.1943782978595,241.84916907552895,261.5193171817868,2020,9,4,CRM,1,1,1
2020-09-09,249.03900146484375,252.0422313910888,241.61050687825508,245.0313869567845,2020,9,9,CRM,0,0,0
2020-09-14,245.2700653076172,247.48767477519235,242.6845006450013,244.94189643454425,2020,9,14,CRM,0,0,0
2020-09-24,236.2305450439453,238.62716247751342,232.33232028231708,234.53003646530453,2020,9,24,CRM,0,0,0
2020-09-29,246.0755615234375,246.52305901015475,243.14195002825142,243.8977232241731,2020,9,29,CRM,1,1,1
2020-10-09,264.5026550292969,264.57224315766143,260.04752775845424,261.4397455468202,2020,10,9,CRM,1,1,1
2020-10-14,260.3757019042969,268.6594515047049,257.3128225293704,268.5003365523865,2020,10,14,CRM,0,0,0
2020-10-19,253.5935821533203,260.02766195791185,253.08642032965471,258.3172142097375,2020,10,19,CRM,0,0,0
2020-10-29,235.82281494140625,241.1729368066707,235.81287594865063,241.1729368066707,2020,10,29,CRM,0,0,0
2020-11-03,235.81288146972656,239.60171664108591,231.98425997834372,233.7941581885349,2020,11,3,CRM,0,0,0
2020-11-13,248.12413024902344,252.38035644420626,246.18496425398115,251.4356361054971,2020,11,13,CRM,1,1,1
2020-11-18,255.73162841796875,261.2010790956367,254.42890713895164,254.9758400674902,2020,11,18,CRM,1,1,1
2020-11-23,256.208984375,260.28618714285705,253.19580018309833,259.7790405128093,2020,11,23,CRM,0,0,0
2020-12-03,219.74264526367188,224.8540950364711,218.90731460213325,224.8540950364711,2020,12,3,CRM,0,0,0
2020-12-08,226.59437561035156,228.22526579161783,224.40659831948741,227.37998095981237,2020,12,8,CRM,1,1,1
2020-12-18,226.16676330566406,226.5546116700821,223.15359424791973,225.75905212790397,2020,12,18,CRM,0,0,0
2020-12-23,226.16676330566406,231.88482570239233,225.8485485932145,231.20860995466444,2020,12,23,CRM,0,0,0
2020-12-28,223.39227294921875,226.57449603344534,220.81666232589447,225.95794457857423,2020,12,28,CRM,0,0,0
2021-01-07,216.7692413330078,219.4343633539725,215.29746613655476,215.8245210752988,2021,1,7,CRM,0,0,0
2021-01-12,214.3229217529297,217.08747933012447,212.90085664253965,216.78914261282262,2021,1,12,CRM,0,0,0
2021-01-22,224.51597595214844,226.52474503676893,222.50719169349304,223.65079800576746,2021,1,22,CRM,1,1,1
2021-01-27,223.53147888183594,226.54464781067557,220.34925602329653,222.45747582194724,2021,1,27,CRM,0,0,0
2021-02-01,227.1910400390625,228.62302890384206,223.5016403231155,225.94798308509635,2021,2,1,CRM,1,0,0
2021-02-11,239.9000701904297,241.54089941678947,237.2548411624237,237.60288802987534,2021,2,11,CRM,1,1,1
2021-02-16,247.209228515625,249.83456429747855,242.4458407594644,243.6391724468459,2021,2,16,CRM,1,1,1
2021-02-26,215.2974853515625,229.21972458907695,215.13837040422214,228.11588929971253,2021,2,26,CRM,0,0,0
2021-03-03,204.8557891845703,212.13513810320947,204.25911576781667,211.64785430705948,2021,3,3,CRM,0,0,0
2021-03-08,206.5662384033203,213.7063504295266,206.4170776349872,212.43346129296594,2021,3,8,CRM,0,0,0
2021-03-18,208.31646728515625,210.20592309529871,207.24246417891484,209.5296921732788,2021,3,18,CRM,0,0,0
2021-03-23,213.80581665039062,216.22231231783192,213.13953987985286,213.5671442296161,2021,3,23,CRM,1,1,0
2021-04-07,219.56362915039062,221.4431306572612,218.17141143198094,220.72714381210415,2021,4,7,CRM,1,1,0
2021-04-12,227.48936462402344,228.5733218347064,225.88830663885102,228.24515297356774,2021,4,12,CRM,1,1,1
2021-04-22,230.0649871826172,232.59087223730188,227.73797303178807,228.72247960229404,2021,4,22,CRM,1,0,0
2021-04-27,232.9091033935547,234.5897036589859,230.62187555003305,234.15216035481265,2021,4,27,CRM,1,0,0
2021-05-07,215.2974853515625,220.02110223571918,213.89531332944406,219.2852069847974,2021,5,7,CRM,0,0,0
2021-05-12,209.3705596923828,212.18484242342257,207.83912021996892,212.1550102708066,2021,5,12,CRM,0,0,0
2021-05-17,213.865478515625,216.51070757964627,211.63792997669034,215.38697914232102,2021,5,17,CRM,1,1,0
2021-05-27,224.57565307617188,228.24515979101227,224.13809458158423,228.24515979101227,2021,5,27,CRM,1,1,1
2021-06-01,234.88804626464844,237.0758235366102,231.16882945452417,236.67805136863007,2021,6,1,CRM,1,1,1
2021-06-11,238.9752197265625,239.0348840347214,237.0857791560312,237.7023305723873,2021,6,11,CRM,1,0,0
2021-06-16,241.04367065429688,243.6491132952204,238.1498302891888,240.65583747359426,2021,6,16,CRM,0,0,0
