Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,IBM,IBM,IBM,IBM,,,,,,,
2020-01-23,108.24214935302734,109.40889421237345,107.69665589432346,109.249784395929,2020,1,23,IBM,0,0,0
2020-01-28,105.72686767578125,106.42388944872644,105.12076756951618,105.68899473256512,2020,1,28,IBM,0,0,0
2020-02-07,117.44125366210938,119.07185237640739,117.0661327496708,118.31396175536119,2020,2,7,IBM,1,1,1
2020-02-12,118.895751953125,119.11776250243227,117.52544468263456,117.70151358827671,2020,2,12,IBM,1,0,0
2020-02-27,101.90081787109375,106.17252389733126,101.8242688169951,105.06249541101762,2020,2,27,IBM,0,0,0
2020-03-03,98.67789459228516,104.18976179273187,97.83580012140807,102.94959396360434,2020,3,3,IBM,0,0,0
2020-03-13,82.63985443115234,83.56615887768143,77.17391103403786,83.19869906057036,2020,3,13,IBM,0,0,0
2020-03-18,79.27149200439453,81.85900840907703,76.09450522417487,76.10216012821006,2020,3,18,IBM,0,0,0
2020-03-23,72.55006408691406,74.8237110784524,69.3271479107173,72.4199246101948,2020,3,23,IBM,0,0,0
2020-04-02,84.20922088623047,84.45419617315056,80.48870491742355,80.66477995032523,2020,4,2,IBM,1,1,1
2020-04-07,87.990966796875,91.53540711214917,87.93738247144687,90.94594287687558,2020,4,7,IBM,1,1,1
2020-04-17,91.95646667480469,92.16316131234724,90.27227773830897,91.32872174850755,2020,4,17,IBM,1,1,1
2020-04-22,91.33638000488281,92.1172291572607,89.98903735920574,91.76508521377866,2020,4,22,IBM,0,0,0
2020-04-27,96.39659881591797,97.21572867858453,96.0521097444976,96.12100389322441,2020,4,27,IBM,1,1,1
2020-05-07,94.05085754394531,95.62574255616803,93.75605145204553,95.40851831817749,2020,5,7,IBM,0,0,0
2020-05-12,93.29832458496094,96.44809441723356,93.29832458496094,95.431785194537,2020,5,12,IBM,0,0,0
2020-05-22,91.84757995605469,92.6854529019912,91.22693745689814,92.60787104179798,2020,5,22,IBM,0,0,0
2020-05-27,97.39457702636719,97.61955882582167,95.78866178337483,96.15329215512067,2020,5,27,IBM,1,1,1
2020-06-01,96.89029693603516,97.55749090896038,96.22310296310995,96.69634541569155,2020,6,1,IBM,0,0,0
