Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,INTU,INTU,INTU,INTU,,,,,,,
2020-01-23,279.4704284667969,283.44101033588663,279.25737198930716,280.58415024481366,2020,1,23,INTU,0,0,0
2020-01-28,279.0638122558594,279.42212793675264,274.0085879980968,275.43218648316343,2020,1,28,INTU,0,0,0
2020-02-07,285.4070129394531,286.43355002911085,281.9109823812164,283.9156467098709,2020,2,7,INTU,1,1,0
2020-02-12,289.2225036621094,289.4355600999492,285.32941372074026,287.6245951554251,2020,2,12,INTU,1,0,0
2020-02-27,260.2857666015625,269.7957872098798,259.92745106540684,265.602484682047,2020,2,27,INTU,0,0,0
2020-03-03,259.7726135253906,275.6743058812456,255.84077556274724,272.09108982067033,2020,3,3,INTU,0,0,0
2020-03-13,253.0032196044922,253.14847870011542,227.5818434719834,242.1083441191313,2020,3,13,INTU,0,0,0
2020-03-18,217.96530151367188,224.9380186890014,208.28096799873632,218.90466826967,2020,3,18,INTU,0,0,0
2020-03-23,188.57333374023438,195.95279077250754,181.75555501923412,195.95279077250754,2020,3,23,INTU,0,0,0
2020-04-02,218.1105194091797,221.1320261664637,208.74577244228996,209.27841364043104,2020,4,2,INTU,1,1,1
2020-04-07,232.1915283203125,241.12048320685912,231.4748972417414,239.80341352272097,2020,4,7,INTU,1,1,1
2020-04-17,257.5384521484375,259.4503872295246,251.3756432327824,256.92704639070536,2020,4,17,INTU,1,1,1
2020-04-22,256.0728759765625,258.0721539266522,244.58185550651513,247.39638523011075,2020,4,22,INTU,0,0,0
2020-04-27,263.81781005859375,265.03096636534127,257.40265372518826,259.5475057824572,2020,4,27,INTU,1,1,1
2020-05-07,272.5233459472656,275.66786636979447,270.0485196093924,270.7666984676794,2020,5,7,INTU,1,1,1
2020-05-12,273.37744140625,281.2289841403628,272.45546054002494,280.47197591780997,2020,5,12,INTU,0,0,0
2020-05-22,279.1325988769531,281.10279248042076,272.31952604473327,277.7447556437708,2020,5,22,INTU,1,1,0
2020-05-27,272.9212951660156,274.7944307075607,263.53633609533244,274.7944307075607,2020,5,27,INTU,0,0,0
2020-06-01,281.4036560058594,283.1214741074907,279.58874989000105,280.5883891725432,2020,6,1,INTU,1,1,1
2020-06-11,269.6797790527344,286.28547732984646,269.5342062252468,285.2372937357905,2020,6,11,INTU,0,0,0
2020-06-16,280.0740661621094,284.75200334777435,277.0072335031152,281.43282473379753,2020,6,16,INTU,1,1,1
2020-06-26,278.0747985839844,281.45223607944325,275.5514574032462,278.05539874745,2020,6,26,INTU,0,0,0
