Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,NOW,NOW,NOW,NOW,,,,,,,
2020-01-23,311.4599914550781,316.17999267578125,310.8999938964844,313.0,2020,1,23,NOW,0,0,0
2020-01-28,314.04998779296875,315.2099914550781,308.3999938964844,309.2900085449219,2020,1,28,NOW,0,0,0
2020-02-07,341.05999755859375,345.7699890136719,339.69000244140625,341.7099914550781,2020,2,7,NOW,1,1,1
2020-02-12,349.79998779296875,350.42999267578125,339.5,345.0199890136719,2020,2,12,NOW,1,1,0
2020-02-27,320.1000061035156,331.42999267578125,317.7699890136719,323.69000244140625,2020,2,27,NOW,0,0,0
2020-03-03,329.6300048828125,350.70001220703125,325.1300048828125,344.3900146484375,2020,3,3,NOW,1,1,0
2020-03-13,287.6700134277344,288.5,264.8399963378906,277.4100036621094,2020,3,13,NOW,0,0,0
2020-03-18,278.1600036621094,279.94000244140625,238.92999267578125,266.0,2020,3,18,NOW,0,0,0
2020-03-23,255.32000732421875,260.3900146484375,240.16000366210938,254.89999389648438,2020,3,23,NOW,0,0,0
2020-04-02,259.0,272.6199951171875,249.25,265.0,2020,4,2,NOW,1,0,0
2020-04-07,262.3500061035156,278.1000061035156,255.24000549316406,277.0,2020,4,7,NOW,1,0,0
2020-04-17,299.5899963378906,303.1199951171875,296.510009765625,302.0899963378906,2020,4,17,NOW,1,1,1
2020-04-22,299.6099853515625,302.67999267578125,293.05999755859375,295.9200134277344,2020,4,22,NOW,0,0,0
2020-04-27,308.6000061035156,311.0,306.2699890136719,307.5299987792969,2020,4,27,NOW,1,1,1
2020-05-07,381.8299865722656,386.57000732421875,368.5299987792969,368.9700012207031,2020,5,7,NOW,1,1,1
2020-05-12,365.6000061035156,384.989990234375,364.57000732421875,384.1300048828125,2020,5,12,NOW,0,0,0
2020-05-22,387.9599914550781,394.1400146484375,384.989990234375,389.0400085449219,2020,5,22,NOW,1,1,1
2020-05-27,371.1600036621094,378.04998779296875,352.07000732421875,378.04998779296875,2020,5,27,NOW,0,0,0
2020-06-01,383.3699951171875,387.94000244140625,381.8500061035156,385.05999755859375,2020,6,1,NOW,1,1,1
2020-06-11,375.04998779296875,397.4599914550781,372.8699951171875,393.8299865722656,2020,6,11,NOW,0,0,0
2020-06-16,398.4599914550781,402.8699951171875,389.19000244140625,400.0,2020,6,16,NOW,1,1,1
2020-06-26,399.9700012207031,402.8399963378906,391.0799865722656,401.8299865722656,2020,6,26,NOW,0,0,0
2020-07-01,416.7900085449219,417.6199951171875,403.5,405.3800048828125,2020,7,1,NOW,1,1,1
2020-07-06,416.44000244140625,425.0,412.1499938964844,419.2900085449219,2020,7,6,NOW,0,0,0
2020-07-16,413.8800048828125,418.260009765625,404.489990234375,416.05999755859375,2020,7,16,NOW,0,0,0
2020-07-21,437.2200012207031,447.4700012207031,434.17999267578125,447.2300109863281,2020,7,21,NOW,1,1,1
2020-07-31,439.20001220703125,439.20001220703125,428.32000732421875,436.989990234375,2020,7,31,NOW,0,0,0
2020-08-05,435.739990234375,441.04998779296875,435.3299865722656,440.0,2020,8,5,NOW,0,0,0
2020-08-10,438.67999267578125,439.1300048828125,422.1700134277344,430.44000244140625,2020,8,10,NOW,0,0,0
2020-08-20,453.3399963378906,454.7300109863281,433.3599853515625,435.4200134277344,2020,8,20,NOW,1,1,1
2020-08-25,457.92999267578125,458.8800048828125,445.739990234375,450.0,2020,8,25,NOW,1,0,0
2020-09-04,450.3500061035156,470.0,435.1000061035156,466.0,2020,9,4,NOW,0,0,0
2020-09-09,458.20001220703125,462.8599853515625,441.8500061035156,452.0899963378906,2020,9,9,NOW,1,0,0
2020-09-14,458.05999755859375,463.20001220703125,451.1700134277344,451.4200134277344,2020,9,14,NOW,0,0,0
2020-09-24,460.1199951171875,465.1700134277344,453.70001220703125,458.7900085449219,2020,9,24,NOW,0,0,0
2020-09-29,487.9800109863281,489.55999755859375,483.1000061035156,486.3500061035156,2020,9,29,NOW,1,1,1
2020-10-09,508.6099853515625,510.8800048828125,502.010009765625,503.55999755859375,2020,10,9,NOW,1,1,1
2020-10-14,516.8900146484375,521.5,509.9800109863281,520.0,2020,10,14,NOW,1,0,0
2020-10-19,521.9500122070312,533.3699951171875,519.3900146484375,526.4400024414062,2020,10,19,NOW,0,0,0
2020-10-29,510.5899963378906,517.9000244140625,493.0,497.0,2020,10,29,NOW,0,0,0
2020-11-03,480.04998779296875,484.7099914550781,472.010009765625,477.6099853515625,2020,11,3,NOW,0,0,0
2020-11-13,508.010009765625,511.6000061035156,495.5199890136719,511.6000061035156,2020,11,13,NOW,1,1,1
2020-11-18,507.1199951171875,513.5599975585938,502.3900146484375,511.25,2020,11,18,NOW,0,0,0
2020-11-23,522.1099853515625,524.8699951171875,514.27001953125,520.0999755859375,2020,11,23,NOW,1,1,0
2020-12-03,525.239990234375,539.5,523.2999877929688,527.7899780273438,2020,12,3,NOW,0,0,0
2020-12-08,542.25,544.0499877929688,528.5999755859375,536.7899780273438,2020,12,8,NOW,1,1,1
2020-12-18,565.4299926757812,566.739990234375,555.5499877929688,558.469970703125,2020,12,18,NOW,1,1,1
2020-12-23,550.0599975585938,565.0,549.719970703125,561.6099853515625,2020,12,23,NOW,0,0,0
2020-12-28,543.739990234375,563.0,540.9000244140625,563.0,2020,12,28,NOW,0,0,0
2021-01-07,511.4100036621094,516.9000244140625,508.7099914550781,510.0,2021,1,7,NOW,0,0,0
2021-01-12,513.2100219726562,522.510009765625,507.30999755859375,520.0,2021,1,12,NOW,0,0,0
2021-01-22,541.0900268554688,554.3400268554688,540.2999877929688,549.75,2021,1,22,NOW,1,1,1
2021-01-27,516.5,533.0700073242188,508.2200012207031,524.8800048828125,2021,1,27,NOW,0,0,0
2021-02-01,558.5599975585938,564.72998046875,546.010009765625,546.010009765625,2021,2,1,NOW,1,1,1
2021-02-11,594.469970703125,595.0,588.0,594.0,2021,2,11,NOW,1,1,1
2021-02-16,585.739990234375,594.6599731445312,581.1500244140625,591.8200073242188,2021,2,16,NOW,0,0,0
2021-02-26,533.4600219726562,540.3200073242188,521.1500244140625,532.5,2021,2,26,NOW,0,0,0
2021-03-03,516.0,545.7899780273438,513.6699829101562,544.2899780273438,2021,3,3,NOW,0,0,0
2021-03-08,464.04998779296875,497.260009765625,462.510009765625,490.7799987792969,2021,3,8,NOW,0,0,0
2021-03-18,466.17999267578125,479.79998779296875,464.6700134277344,479.69000244140625,2021,3,18,NOW,0,0,0
2021-03-23,478.1700134277344,486.44000244140625,476.9800109863281,480.1099853515625,2021,3,23,NOW,1,1,0
2021-04-07,510.7300109863281,512.8900146484375,506.8299865722656,511.05999755859375,2021,4,7,NOW,1,1,1
2021-04-12,537.0,541.219970703125,524.72998046875,529.1799926757812,2021,4,12,NOW,1,1,1
2021-04-22,548.489990234375,558.0,543.8499755859375,547.0,2021,4,22,NOW,1,1,0
2021-04-27,562.6300048828125,565.2899780273438,553.5900268554688,557.9500122070312,2021,4,27,NOW,1,1,0
2021-05-07,483.510009765625,494.5299987792969,474.45001220703125,493.3999938964844,2021,5,7,NOW,0,0,0
2021-05-12,464.7099914550781,475.0,460.010009765625,473.2300109863281,2021,5,12,NOW,0,0,0
2021-05-17,454.3999938964844,459.4700012207031,448.2699890136719,459.4700012207031,2021,5,17,NOW,0,0,0
2021-05-27,479.2200012207031,482.6099853515625,472.6300048828125,480.9700012207031,2021,5,27,NOW,1,1,1
2021-06-01,469.1700134277344,477.6400146484375,467.0400085449219,477.6000061035156,2021,6,1,NOW,0,0,0
2021-06-11,498.010009765625,499.510009765625,488.0,490.0,2021,6,11,NOW,1,1,1
2021-06-16,510.0799865722656,521.5,502.1499938964844,507.70001220703125,2021,6,16,NOW,1,1,0
2021-06-21,534.75,538.0,525.02001953125,531.3200073242188,2021,6,21,NOW,1,1,1
2021-07-01,545.1699829101562,550.1300048828125,539.75,545.0,2021,7,1,NOW,1,0,0
2021-07-06,558.489990234375,563.7899780273438,552.1900024414062,554.2899780273438,2021,7,6,NOW,1,1,0
2021-07-16,556.3599853515625,564.6300048828125,554.9600219726562,561.52001953125,2021,7,16,NOW,0,0,0
2021-07-21,567.1300048828125,567.1300048828125,558.5399780273438,562.489990234375,2021,7,21,NOW,1,0,0
2021-07-26,584.2000122070312,584.8499755859375,575.010009765625,584.7999877929688,2021,7,26,NOW,1,1,1
2021-08-05,595.5,597.0,589.3800048828125,595.0,2021,8,5,NOW,1,0,0
