Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,NVDA,NVDA,NVDA,NVDA,,,,,,,
2020-01-23,6.295109748840332,6.303574363047856,6.177851622070898,6.266729121556851,2020,1,23,NVDA,0,0,0
2020-01-28,6.173369407653809,6.20573351675792,5.992626706174366,6.045903527531865,2020,1,28,NVDA,0,0,0
2020-02-07,6.263491630554199,6.311789213380991,6.238097791730746,6.289631928007941,2020,2,7,NVDA,1,0,0
2020-02-12,6.785055160522461,6.791528267665657,6.683231931565286,6.722069149885042,2020,2,12,NVDA,1,1,1
2020-02-27,6.292397499084473,6.6511091252555685,6.199979396341777,6.349691581873263,2020,2,27,NVDA,0,0,0
2020-03-03,6.6234588623046875,7.001600498433995,6.538015669308391,6.941815302713952,2020,3,3,NVDA,1,1,1
2020-03-13,5.999449729919434,6.003933536233202,5.470599575524825,5.74187484637782,2020,3,13,NVDA,0,0,0
2020-03-18,5.052352428436279,5.229715334583032,4.500833721531289,4.9845959620842075,2020,3,18,NVDA,0,0,0
2020-03-23,5.298219203948975,5.392630494221181,4.945237119241586,5.124343755250975,2020,3,23,NVDA,1,1,1
2020-04-02,6.363890647888184,6.3770930978110725,6.036068214514812,6.084145239754935,2020,4,2,NVDA,1,1,1
2020-04-07,6.452572822570801,6.931353301048812,6.409477533621597,6.907687999820813,2020,4,7,NVDA,1,0,0
2020-04-17,7.281844139099121,7.444758791564301,7.147825499334957,7.423335631647237,2020,4,17,NVDA,1,1,1
2020-04-22,7.128145694732666,7.170992012320621,6.860357872764677,6.905943792774643,2020,4,22,NVDA,0,0,0
2020-04-27,7.400417327880859,7.560342915708871,7.323692785635314,7.348354432301207,2020,4,27,NVDA,1,1,1
2020-05-07,7.594470500946045,7.65774315277696,7.506038264433992,7.557353782427627,2020,5,7,NVDA,1,1,0
2020-05-12,7.774573802947998,8.143249419961077,7.764858809454808,8.09442500897853,2020,5,12,NVDA,1,1,0
2020-05-22,8.99394416809082,9.060455788697135,8.682064695436766,8.793663351359584,2020,5,22,NVDA,1,1,1
2020-05-27,8.494738578796387,8.601852962248168,7.968129524399917,8.594131140405484,2020,5,27,NVDA,0,0,0
2020-06-01,8.774730682373047,8.809107323144048,8.658398784434446,8.801634470893298,2020,6,1,NVDA,1,1,1
2020-06-11,8.768767356872559,9.232313713247063,8.758549290684753,9.121411378573432,2020,6,11,NVDA,0,0,0
2020-06-16,9.040166854858398,9.237798230608707,8.811134982142725,9.196178715753588,2020,6,16,NVDA,1,1,1
2020-06-26,9.126397132873535,9.470319529344263,9.096491126870147,9.470319529344263,2020,6,26,NVDA,0,0,0
2020-07-01,9.500223159790039,9.545830829537778,9.383589100055149,9.491002373329252,2020,7,1,NVDA,1,1,1
2020-07-06,9.808509826660156,9.877792664333638,9.682155826623525,9.71131458827734,2020,7,6,NVDA,1,1,1
2020-07-16,10.103084564208984,10.174859153083277,9.864581912976861,9.983708697602651,2020,7,16,NVDA,1,1,1
2020-07-21,10.29623031616211,10.52700766109685,10.254610801910369,10.480153621616225,2020,7,21,NVDA,1,0,0
2020-07-31,10.581586837768555,10.732863296524776,10.400404372532433,10.530247416910637,2020,7,31,NVDA,1,1,0
2020-08-05,11.251484870910645,11.336219330060835,11.131361755908749,11.20886903469722,2020,8,5,NVDA,1,1,1
2020-08-10,11.130115509033203,11.372605380775074,10.822579111981888,11.298837183100986,2020,8,10,NVDA,0,0,0
2020-08-20,12.103067398071289,12.336336512012126,11.841636804823311,11.937586621194678,2020,8,20,NVDA,1,1,1
2020-08-25,12.710164070129395,12.721378464446069,12.534464286944164,12.591286356621447,2020,8,25,NVDA,1,1,1
2020-09-04,12.586828231811523,13.137766594734604,11.671671508568563,12.747621689654373,2020,9,4,NVDA,0,0,0
2020-09-09,12.67906665802002,12.773050026936103,12.197181740648402,12.364956337870668,2020,9,9,NVDA,0,0,0
2020-09-14,12.835871696472168,13.277370430180602,12.59555355587219,13.044032476643867,2020,9,14,NVDA,1,0,0
2020-09-24,12.313101768493652,12.53397616281238,11.980046081436551,12.038131881854135,2020,9,24,NVDA,0,0,0
2020-09-29,13.188372611999512,13.404759354832757,12.896699704167961,12.900937267183263,2020,9,29,NVDA,1,1,1
2020-10-09,13.723854064941406,13.785180804426698,13.622143047466686,13.728092578740656,2020,10,9,NVDA,1,1,1
2020-10-14,14.055415153503418,14.302215154360493,13.920547295974767,14.250112910824463,2020,10,14,NVDA,1,1,0
2020-10-19,13.459602355957031,13.943978755097602,13.368858988725798,13.863706617643704,2020,10,19,NVDA,0,0,0
2020-10-29,12.98719310760498,13.1554660138975,12.713967290230828,12.802217203657106,2020,10,29,NVDA,0,0,0
2020-11-03,12.982704162597656,13.067962287272977,12.567132024081747,12.672583237882426,2020,11,3,NVDA,0,0,0
2020-11-13,13.259418487548828,13.63011768508352,13.02234038949491,13.588734885654263,2020,11,13,NVDA,1,1,0
2020-11-18,13.390796661376953,13.567296455871066,13.147735946957885,13.427193479417413,2020,11,18,NVDA,0,0,0
2020-11-23,13.102865219116211,13.344679240077134,12.978716796287717,13.134026903088728,2020,11,23,NVDA,0,0,0
2020-12-03,13.362086296081543,13.62541788690845,13.295256477922882,13.55310120122425,2020,12,3,NVDA,1,0,0
2020-12-08,13.316205978393555,13.564326022338461,13.24787886289638,13.550610753206113,2020,12,8,NVDA,0,0,0
2020-12-18,13.238399505615234,13.371062210307468,13.037409705321153,13.345128011841782,2020,12,18,NVDA,0,0,0
2020-12-23,12.976318359375,13.241395577193734,12.972079543895864,13.222443620104235,2020,12,23,NVDA,0,0,0
2020-12-28,12.867342948913574,13.029431956629256,12.730939865504727,13.029431956629256,2020,12,28,NVDA,0,0,0
2021-01-07,13.310220718383789,13.34388581597772,12.853879333443036,12.93467366514812,2021,1,7,NVDA,1,1,1
2021-01-12,13.450613975524902,13.719681713502045,13.311218215918553,13.717685969710987,2021,1,12,NVDA,1,0,0
2021-01-22,13.67778491973877,13.806708234264098,13.592750838407587,13.705215452670116,2021,1,22,NVDA,1,0,0
2021-01-27,12.885048866271973,13.199251020163084,12.76136222633586,13.19650758610802,2021,1,27,NVDA,0,0,0
2021-02-01,13.2034912109375,13.237155354799151,12.870086910458857,13.020206218914906,2021,2,1,NVDA,1,1,0
2021-02-11,15.212141036987305,15.233587193911164,14.887216301615677,14.94232659903093,2021,2,11,NVDA,1,1,1
2021-02-16,15.2914400100708,15.333583682390296,14.912152666755418,15.02611361621427,2021,2,16,NVDA,0,0,0
2021-02-26,13.679780960083008,13.819425928931539,13.327175511220458,13.71768391501332,2021,2,26,NVDA,0,0,0
2021-03-03,12.77233600616455,13.417448296145926,12.766350677309134,13.392262732449801,2021,3,3,NVDA,0,0,0
2021-03-08,11.5639009475708,12.439677521258226,11.537218104389597,12.418481545794283,2021,3,8,NVDA,0,0,0
2021-03-18,12.694671630859375,13.15516234877373,12.689183821002722,13.107766589188097,2021,3,18,NVDA,1,1,1
2021-03-23,13.042160034179688,13.315310602198496,12.992767843238775,13.225257994598026,2021,3,23,NVDA,1,1,0
2021-04-07,14.112565994262695,14.212346705643668,13.681510694712742,13.85039005068795,2021,4,7,NVDA,1,1,1
2021-04-12,15.17573356628418,15.318920021528413,14.10832355732677,14.258494671285924,2021,4,12,NVDA,1,1,1
2021-04-22,14.817769050598145,15.404732561298331,14.751164524185567,15.341371048130137,2021,4,22,NVDA,0,0,0
2021-04-27,15.348105430603027,15.636223539949636,15.320914745553782,15.544424764978839,2021,4,27,NVDA,1,1,1
2021-05-07,14.779852867126465,14.93800591514762,14.639660099421985,14.775861905186858,2021,5,7,NVDA,0,0,0
2021-05-12,13.728405952453613,14.229058460521236,13.67926402780552,13.978856388764768,2021,5,12,NVDA,0,0,0
2021-05-17,14.134515762329102,14.138257407772128,13.823198871455904,14.126034255250337,2021,5,17,NVDA,1,1,0
2021-05-27,15.454122543334961,15.715549546515176,15.426183910388906,15.665409406577824,2021,5,27,NVDA,1,1,1
2021-06-01,16.228923797607422,16.352403800369448,15.868464047555406,16.23441255900083,2021,6,1,NVDA,1,1,1
2021-06-11,17.790342330932617,17.90411939746391,17.40958920239905,17.445268627485564,2021,6,11,NVDA,1,1,1
2021-06-16,17.775367736816406,17.919585462781175,17.550059901418596,17.75590710043127,2021,6,16,NVDA,0,0,0
2021-06-21,18.391159057617188,18.500196105414556,17.787843189104905,18.399142810449153,2021,6,21,NVDA,1,1,1
2021-07-01,20.17241668701172,20.415938319320034,19.97979386655291,20.085587174524193,2021,7,1,NVDA,1,1,1
2021-07-06,20.657955169677734,20.80117345549121,20.310387890104636,20.69687833429564,2021,7,6,NVDA,1,1,0
2021-07-16,18.125431060791016,19.119480688517793,18.037604063247148,18.993229260572665,2021,7,16,NVDA,0,0,0
2021-07-21,19.371984481811523,19.48875591069997,18.70529352111529,18.8450187156054,2021,7,21,NVDA,1,1,1
2021-07-26,19.256210327148438,19.403919258295247,18.876953550176268,19.273177227982416,2021,7,26,NVDA,0,0,0
2021-08-05,20.596580505371094,20.692393154502234,20.302158201908725,20.45984969496931,2021,8,5,NVDA,1,1,1
2021-08-10,19.896955490112305,20.3899874565726,19.796151565943244,20.282199176211822,2021,8,10,NVDA,0,0,0
2021-08-20,20.775230407714844,20.824134224618007,19.89396040304177,19.951845465883007,2021,8,20,NVDA,1,1,1
2021-08-25,22.169490814208984,22.42598739868596,21.679453310988116,21.69442332138077,2021,8,25,NVDA,1,1,1
2021-08-30,22.64356231689453,22.9978665461968,22.5068315173217,22.785284389338006,2021,8,30,NVDA,1,1,0
2021-09-09,22.137466430664062,22.497822958424248,22.09154890429937,22.2722260026907,2021,9,9,NVDA,0,0,0
2021-09-14,22.20235252380371,22.37005231992242,22.046630468572637,22.235292739206184,2021,9,14,NVDA,0,0,0
2021-09-24,22.041635513305664,22.109515081552647,21.82202839335975,22.030655442900628,2021,9,24,NVDA,0,0,0
2021-09-29,20.480426788330078,20.97953549307052,20.430514775486866,20.90267308763545,2021,9,29,NVDA,0,0,0
2021-10-04,19.69682502746582,20.505380544861097,19.520140511476427,20.46744817908068,2021,10,4,NVDA,0,0,0
