Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,QCOM,QCOM,QCOM,QCOM,,,,,,,
2020-01-23,82.3471908569336,83.1975123787858,81.86384783026132,83.10800592841785,2020,1,23,QCOM,0,0,0
2020-01-28,79.79621124267578,80.14529114338524,78.22087192863843,78.90113317338924,2020,1,28,QCOM,0,0,0
2020-02-07,78.24773406982422,80.58388870215659,78.21193012260056,80.21691019369729,2020,2,7,QCOM,0,0,0
2020-02-12,82.09657287597656,82.74103026694424,81.7116889801989,82.03391767568274,2020,2,12,QCOM,1,1,1
2020-02-27,67.97221374511719,69.98613889668032,67.42621571327014,69.03735173717943,2020,2,27,QCOM,0,0,0
2020-03-03,70.31732940673828,73.9782021814345,69.66392625457308,72.34020771137064,2020,3,3,QCOM,1,1,1
2020-03-13,68.3956527709961,69.17154388064806,60.681861227214746,64.21847700693299,2020,3,13,QCOM,0,0,0
2020-03-18,55.205509185791016,59.148114539450205,52.327498032959014,57.34372149716823,2020,3,18,QCOM,0,0,0
2020-03-23,56.41446304321289,58.516586899837264,53.328946266044795,55.53030905253407,2020,3,23,QCOM,1,1,0
2020-04-02,61.367530822753906,61.58406339003208,58.92257403719719,59.4278098109522,2020,4,2,QCOM,1,1,1
2020-04-07,65.61688995361328,67.57465874887146,63.92977653725277,66.45593470632782,2020,4,7,QCOM,1,1,1
2020-04-17,68.72045135498047,70.59702570295703,68.09793913161307,69.75798090489629,2020,4,17,QCOM,1,1,1
2020-04-22,67.37616729736328,67.97161457821592,65.63492435528909,66.57321138511821,2020,4,22,QCOM,0,0,0
2020-04-27,68.54904174804688,70.20908360392562,68.10695954847284,69.09937647389845,2020,4,27,QCOM,1,0,0
2020-05-07,71.12031555175781,72.32925834226067,70.60606263765558,71.90522390930765,2020,5,7,QCOM,1,1,1
2020-05-12,70.75038146972656,73.79079189362177,70.7323405342752,73.33969279185118,2020,5,12,QCOM,0,0,0
2020-05-22,71.00301361083984,71.05715019717611,69.73091740519547,70.60605098266448,2020,5,22,QCOM,0,0,0
2020-05-27,71.53531646728516,71.56238131967329,68.71143777539905,70.61507018672057,2020,5,27,QCOM,0,0,0
2020-06-01,71.9322738647461,72.60892259329363,71.49019173950506,72.07662201422495,2020,6,1,QCOM,0,0,0
2020-06-11,76.38941192626953,80.97168663975901,76.28940836203446,80.57165157330964,2020,6,11,QCOM,1,1,1
2020-06-16,81.38990020751953,82.22635220623638,79.78974624584873,81.7353935123707,2020,6,16,QCOM,1,1,1
2020-06-26,80.02613067626953,81.58083671989915,79.58972756014742,80.98077376460316,2020,6,26,QCOM,0,0,0
2020-07-01,81.62628173828125,83.00824095719693,81.44444828466153,82.7445775938972,2020,7,1,QCOM,1,0,0
2020-07-06,84.48113250732422,85.23575472054428,83.735604050162,84.74479594097352,2020,7,6,QCOM,1,1,1
2020-07-16,82.91732788085938,83.41738034691326,82.44455667918321,82.9718834731123,2020,7,16,QCOM,0,0,0
2020-07-21,83.926513671875,85.32665354090345,83.47192307556065,85.05390334501605,2020,7,21,QCOM,1,0,0
2020-07-31,96.01863098144531,97.9642782734408,95.01853300818165,96.06409281789009,2020,7,31,QCOM,1,1,1
2020-08-05,101.2737045288086,102.24652824308552,100.08267924458714,100.91912437646018,2020,8,5,QCOM,1,1,1
2020-08-10,96.70051574707031,99.09165987418068,96.11864031738185,98.73707975097996,2020,8,10,QCOM,0,0,0
2020-08-20,100.6100082397461,100.90094598479882,99.70991373831481,100.0099452387919,2020,8,20,QCOM,1,1,1
2020-08-25,105.41957092285156,106.4651308246159,104.04671212857696,105.56504326308098,2020,8,25,QCOM,1,1,1
2020-09-04,106.00248718261719,107.69348000383545,102.72104072644733,105.74655403869076,2020,9,4,QCOM,0,0,0
2020-09-09,104.22006225585938,105.81965105008379,102.6479008416908,103.72648099331397,2020,9,9,QCOM,0,0,0
2020-09-14,103.70820617675781,105.50888742489563,102.96782723715665,105.33521553589117,2020,9,14,QCOM,0,0,0
2020-09-24,102.54734802246094,103.55280237574688,99.8508943322245,99.9880033289574,2020,9,24,QCOM,0,0,0
2020-09-29,107.2912826538086,109.00056019633375,107.12675322739626,107.98596322906673,2020,9,29,QCOM,1,1,1
2020-10-09,114.13752746582031,115.06985622614961,112.23630010216945,113.27831747051277,2020,10,9,QCOM,1,1,1
2020-10-14,118.7169189453125,121.03860177357801,117.84855955249489,117.98567553692774,2020,10,14,QCOM,1,1,1
2020-10-19,117.38240814208984,120.61815595217656,116.72429041621828,118.94544122786209,2020,10,19,QCOM,0,0,0
2020-10-29,115.57259368896484,116.71515727107291,111.4136594606296,111.56904643411917,2020,10,29,QCOM,0,0,0
2020-11-03,114.66764831542969,116.01130385229177,113.97297486025633,114.6585128301939,2020,11,3,QCOM,0,0,0
2020-11-13,131.86094665527344,133.67991253749778,130.91947556652036,133.03093041503078,2020,11,13,QCOM,1,1,1
2020-11-18,134.41116333007812,140.15140082833688,134.28319678510957,136.4129366706847,2020,11,18,QCOM,1,0,0
2020-11-23,131.4587860107422,134.36546071100733,129.6855253180889,130.1151302878475,2020,11,23,QCOM,0,0,0
2020-12-03,137.61672973632812,140.24219782668723,137.3688669914598,138.65405528429216,2020,12,3,QCOM,1,1,1
2020-12-08,145.77772521972656,146.2275341641495,143.08799043780598,144.54761429915692,2020,12,8,QCOM,1,1,1
2020-12-18,135.3308868408203,138.42452700852377,134.13748996064575,138.42452700852377,2020,12,18,QCOM,0,0,0
2020-12-23,134.9086456298828,139.11305334109383,134.82601537645147,135.52370102874994,2020,12,23,QCOM,0,0,0
2020-12-28,135.6246795654297,138.6816066975326,135.3492780746318,138.26849745758494,2020,12,28,QCOM,0,0,0
2021-01-07,142.93191528320312,143.59287325043772,139.77400810808265,139.8382745251062,2021,1,7,QCOM,1,1,1
2021-01-12,141.784423828125,144.0059715965203,141.33461492922584,143.79483652137372,2021,1,12,QCOM,0,0,0
2021-01-22,149.10086059570312,150.79915825147924,148.27467006492182,150.55129548924373,2021,1,22,QCOM,1,1,1
2021-01-27,141.0684051513672,147.54945290193996,140.16877323891606,145.49315138776598,2021,1,27,QCOM,0,0,0
2021-02-01,148.32977294921875,149.08252227157934,143.65717737701988,144.46500420985743,2021,2,1,QCOM,1,1,1
2021-02-11,133.62344360351562,134.55062816809124,131.75991356813356,133.8254037656508,2021,2,11,QCOM,0,0,0
2021-02-16,135.09225463867188,137.4606852968373,134.08245373528626,136.7813634156958,2021,2,16,QCOM,1,0,0
2021-02-26,125.02184295654297,126.82110677547395,123.65402425156212,125.54509324814411,2021,2,26,QCOM,0,0,0
2021-03-03,121.43931579589844,125.60842074772566,121.32862175411181,125.07345818849997,2021,3,3,QCOM,0,0,0
2021-03-08,113.63606262207031,119.69604462057664,113.44236562771295,118.98581527080327,2021,3,8,QCOM,0,0,0
2021-03-18,119.67759704589844,123.22872983264828,119.59458706160804,122.15877645426146,2021,3,18,QCOM,1,1,1
2021-03-23,122.23255920410156,123.92049913729164,121.20872724706034,123.59766378873694,2021,3,23,QCOM,1,1,0
2021-04-07,128.6061248779297,129.0857615265285,126.73371370224118,127.59152567135556,2021,4,7,QCOM,1,1,1
2021-04-12,126.7706298828125,129.03043525841295,125.48853518670988,128.08039457367374,2021,4,12,QCOM,0,0,0
2021-04-22,122.64762115478516,125.40551434580375,122.18643584972068,124.86130498939116,2021,4,22,QCOM,0,0,0
2021-04-27,127.29638671875,128.56004426219243,126.34634593802436,127.94205752637895,2021,4,27,QCOM,1,1,1
2021-05-07,127.1488037109375,127.92359170335992,125.70989362953348,126.30944301535006,2021,5,7,QCOM,0,0,0
2021-05-12,114.9458236694336,117.26096874755328,114.07879307645213,116.24636252177676,2021,5,12,QCOM,0,0,0
2021-05-17,119.72370910644531,119.751379099062,117.7959508543073,119.2532910834443,2021,5,17,QCOM,1,1,1
2021-05-27,123.26556396484375,124.18793424715305,122.40776635793783,122.42620363012144,2021,5,27,QCOM,1,1,0
2021-06-01,123.54232025146484,125.50697413061287,123.16414492814611,124.61227352386291,2021,6,1,QCOM,0,0,0
2021-06-11,124.80314636230469,124.83095755067993,123.90388021529849,124.0429503032522,2021,6,11,QCOM,1,0,0
2021-06-16,125.10907745361328,127.05594542100245,123.91315397381263,126.51823889528471,2021,6,16,QCOM,0,0,0
2021-06-21,124.19127655029297,125.24814406575524,122.9860732774839,123.34763284471897,2021,6,21,QCOM,0,0,0
2021-07-01,130.532470703125,132.59058318907296,130.11528879836803,132.48860413270344,2021,7,1,QCOM,1,1,1
2021-07-06,130.89401245117188,132.73888674830272,129.49411703616093,132.57201966750776,2021,7,6,QCOM,0,0,0
2021-07-16,129.52197265625,132.1177777162374,129.35509139034988,131.52444882451505,2021,7,16,QCOM,0,0,0
2021-07-21,131.80258178710938,131.84893848264144,129.46634296385074,129.46634296385074,2021,7,21,QCOM,1,0,0
2021-07-26,133.0355987548828,133.85143134367848,131.86748639498884,133.4527807301251,2021,7,26,QCOM,0,0,0
2021-08-05,136.12277221679688,136.71610116898364,134.02758244884186,136.5028773343435,2021,8,5,QCOM,1,1,0
2021-08-10,135.23277282714844,136.74391348254804,132.01581318844902,136.57704634434788,2021,8,10,QCOM,0,0,0
2021-08-20,131.72840881347656,131.886010255334,130.06894668773785,130.3563383844236,2021,8,20,QCOM,0,0,0
2021-08-25,133.3786163330078,134.82485476290853,133.0077910444459,133.92560273084194,2021,8,25,QCOM,1,0,0
2021-08-30,135.29762268066406,137.07760886309424,134.94532888601228,134.9731400649508,2021,8,30,QCOM,1,0,0
2021-09-09,131.86688232421875,133.69240824045426,131.74579644795307,132.69582315813287,2021,9,9,QCOM,0,0,0
2021-09-14,131.4570770263672,134.87529464056576,130.9727476938282,134.55862378204193,2021,9,14,QCOM,0,0,0
2021-09-24,124.69517517089844,125.31920815561446,123.68926680074163,123.97799699540538,2021,9,24,QCOM,0,0,0
2021-09-29,120.41072082519531,122.43184587299275,120.04747741498208,121.63084576175882,2021,9,29,QCOM,0,0,0
2021-10-04,117.98909759521484,120.88572898506794,117.28123553326152,120.07542002910085,2021,10,4,QCOM,0,0,0
2021-10-14,119.8332748413086,120.4293670267202,117.34644498312966,117.504787521426,2021,10,14,QCOM,1,0,0
2021-10-19,123.4098129272461,123.68923421400108,121.3793790532768,122.03135258106708,2021,10,19,QCOM,1,1,0
2021-10-29,123.91278076171875,124.50887297503222,123.36326113937464,123.7451364885803,2021,10,29,QCOM,0,0,0
2021-11-03,128.97955322265625,129.32417897694282,125.77555270513464,126.43684929355926,2021,11,3,QCOM,1,1,1
2021-11-08,154.47183227539062,156.2042271607729,150.21535124491413,152.01295058761804,2021,11,8,QCOM,1,1,1
2021-11-18,173.53750610351562,175.7728481982313,170.21241945977076,172.53159789730606,2021,11,18,QCOM,1,1,1
2021-11-23,168.52662658691406,168.88987009648397,164.8755596104274,167.96778385897835,2021,11,23,QCOM,0,0,0
2021-12-03,165.02197265625,168.5372649798593,162.40421998847555,166.4523926017418,2021,12,3,QCOM,0,0,0
2021-12-08,170.74368286132812,171.76273769383621,169.01408286688647,171.09894117661145,2021,12,8,QCOM,1,1,1
2021-12-13,171.38876342773438,178.84938717450657,171.19242484185617,174.68901490882394,2021,12,13,QCOM,0,0,0
2021-12-23,170.8465118408203,171.75338127311144,169.57502583121394,169.71525748953425,2021,12,23,QCOM,0,0,0
2021-12-28,172.7911376953125,174.57681595586803,171.5476980220219,174.44592832003124,2021,12,28,QCOM,1,0,0
2022-01-07,168.66818237304688,176.1007609879372,168.39704877096437,174.45531412563045,2022,1,7,QCOM,0,0,0
2022-01-12,174.28701782226562,177.12917010556558,173.13707527644158,174.45531009996523,2022,1,12,QCOM,1,1,1
2022-01-27,150.70843505859375,160.29132270496618,150.15683812027405,158.29060331820457,2022,1,27,QCOM,0,0,0
2022-02-01,165.6016082763672,165.88207154972267,161.84324349092142,164.95651421628915,2022,2,1,QCOM,1,1,1
2022-02-11,153.9245147705078,164.05899717216897,152.9054601177295,163.32976409351284,2022,2,11,QCOM,0,0,0
2022-02-16,161.36648559570312,161.93678484960137,157.3089398596921,159.57143456340918,2022,2,16,QCOM,1,1,1
2022-03-03,155.2332000732422,160.3779067062799,154.43520090384445,160.22769273847922,2022,3,3,QCOM,0,0,0
2022-03-08,141.53587341308594,148.6520993266022,138.8320934866526,141.44200042252248,2022,3,8,QCOM,0,0,0
2022-03-18,144.56825256347656,146.48343052371462,139.8929394888736,143.18819216889034,2022,3,18,QCOM,1,1,0
2022-03-23,143.51675415039062,147.59122525149223,143.24450389539925,146.5585222321642,2022,3,23,QCOM,0,0,0
2022-03-28,148.75537109375,148.80231475208583,144.62458701367476,146.92468302019833,2022,3,28,QCOM,1,1,1
2022-04-07,130.70196533203125,132.83308167394543,128.54268565598917,131.23708300565647,2022,4,7,QCOM,0,0,0
2022-04-12,127.76343536376953,131.58442244357528,127.20953749464333,129.4814699508014,2022,4,12,QCOM,0,0,0
2022-04-22,124.68414306640625,128.92759513875228,124.5339290775174,127.80101887247483,2022,4,22,QCOM,0,0,0
2022-04-27,126.83399963378906,129.65982957405728,122.66565586927543,122.81586981083392,2022,4,27,QCOM,1,0,0
2022-05-02,136.3817901611328,136.74792779008368,130.64562442410647,131.99752161567704,2022,5,2,QCOM,1,1,1
2022-05-12,123.7077865600586,124.91885287963508,119.99945911558828,122.98489423935281,2022,5,12,QCOM,0,0,0
2022-05-17,131.1431884765625,131.43421909824917,128.3361239258947,128.85247550881928,2022,5,17,QCOM,1,1,1
2022-05-27,131.20887756347656,131.56563211486593,127.77282297582767,127.77282297582767,2022,5,27,QCOM,0,0,0
2022-06-01,132.1449737548828,135.81619109216655,130.39901603072977,134.53267988321227,2022,6,1,QCOM,0,0,0
2022-06-06,132.54136657714844,136.81658886683277,132.05060841921772,136.7977096759807,2022,6,6,QCOM,0,0,0
2022-06-16,114.02483367919922,119.52694418089222,112.33550610765343,119.15887916142543,2022,6,16,QCOM,0,0,0
2022-06-21,117.39405822753906,119.02676275213288,116.76174208923658,116.808925669531,2022,6,21,QCOM,1,1,0
2022-07-01,116.5824203491211,119.63076174641911,115.23284617017829,118.67756418499191,2022,7,1,QCOM,0,0,0
2022-07-06,119.91388702392578,121.01808213603736,118.0263710577992,118.97012904086249,2022,7,6,QCOM,1,1,0
2022-07-11,124.80255889892578,127.02982827990087,123.93430329625464,126.07662351563292,2022,7,11,QCOM,1,1,1
2022-07-21,147.09413146972656,147.15075464909967,142.15828085943443,144.28173648955652,2022,7,21,QCOM,1,1,1
2022-07-26,141.53536987304688,144.1118248434009,141.3843651566812,144.03632248521805,2022,7,26,QCOM,0,0,0
2022-08-05,141.76187133789062,142.77168473734642,139.3647183624017,140.21410905789534,2022,8,5,QCOM,0,0,0
2022-08-10,138.72300720214844,138.90230914321643,135.60860261674688,137.64712355271215,2022,8,10,QCOM,0,0,0
2022-08-15,143.57388305664062,144.1118175305681,140.05365598793327,141.86568369116685,2022,8,15,QCOM,1,1,1
2022-08-25,138.02459716796875,138.73241561498398,134.03250515897176,134.33450020805128,2022,8,25,QCOM,0,0,0
2022-08-30,126.85050201416016,130.52171964653334,125.46317675765333,130.0498406994386,2022,8,30,QCOM,0,0,0
2022-09-09,125.32254028320312,125.85400802249468,123.67118168062454,124.0223269052115,2022,9,9,QCOM,0,0,0
2022-09-14,121.0328140258789,121.38396649231645,119.10623622395639,119.83700436786651,2022,9,14,QCOM,0,0,0
2022-09-19,120.19764709472656,120.70064437437163,117.12271527376276,117.32201567282753,2022,9,19,QCOM,0,0,0
2022-09-29,108.98931884765625,111.48533460770874,107.6796274034043,111.30501209526865,2022,9,29,QCOM,0,0,0
2022-10-04,116.13569641113281,116.21161519931732,114.19013355490014,114.26605958378929,2022,10,4,QCOM,1,1,1
2022-10-14,104.34844970703125,109.13168114545381,104.1966048826887,108.79002123980185,2022,10,14,QCOM,0,0,0
2022-10-19,107.10071563720703,107.87893943273596,105.1077041843359,105.2121006774549,2022,10,19,QCOM,1,1,0
2022-10-24,110.45086669921875,111.05826048631188,108.41989236599392,110.41290368243729,2022,10,24,QCOM,1,1,1
2022-11-03,98.58769226074219,101.07421547340843,96.73704050751103,99.06221909395067,2022,11,3,QCOM,0,0,0
2022-11-08,106.8065185546875,109.03679359989653,104.31999492140453,105.8859351840257,2022,11,8,QCOM,1,1,1
2022-11-18,117.54029846191406,118.14769224634304,115.90792495099677,117.72062098065878,2022,11,18,QCOM,1,1,1
2022-11-23,118.77407836914062,120.56778937902273,117.00883781327165,117.24610125098839,2022,11,23,QCOM,1,0,0
2022-11-28,113.44987487792969,117.16067090676827,112.79502553843267,115.93639806266353,2022,11,28,QCOM,0,0,0
2022-12-08,116.28401184082031,116.85707327547469,112.8742879247245,113.63837469551135,2022,12,8,QCOM,1,1,0
2022-12-13,117.94587707519531,122.2056431523881,116.35085397893195,121.2791977166175,2022,12,13,QCOM,1,0,0
2022-12-23,105.86381530761719,105.94022544246802,103.35189224108599,104.7749963900431,2022,12,23,QCOM,0,0,0
2022-12-28,102.16756439208984,105.31940594542667,102.02429721083101,103.98226501866824,2022,12,28,QCOM,0,0,0
2023-01-12,116.13119506835938,116.885728773339,112.36808691914504,113.8867001310447,2023,1,12,QCOM,1,1,1
2023-01-17,114.88001251220703,115.87332245069243,113.6765783365785,114.36425500836623,2023,1,17,QCOM,0,0,0
2023-01-27,127.4110107421875,128.8341225456465,125.51990678076811,125.58677113118921,2023,1,27,QCOM,1,1,1
2023-02-01,132.2438201904297,133.65737124766562,126.72330090625547,126.72330090625547,2023,2,1,QCOM,1,1,1
2023-02-06,126.96207427978516,128.82454030187722,125.94011972043148,126.33171618678108,2023,2,6,QCOM,0,0,0
2023-02-16,124.31645965576172,126.63735761168653,124.11588121048383,124.87996805982439,2023,2,16,QCOM,0,0,0
2023-02-21,118.14646911621094,121.89048573233671,118.00320921567896,119.82745572221403,2023,2,21,QCOM,0,0,0
2023-03-03,118.77206420898438,119.35823761152989,116.91745156335645,119.14682984911897,2023,3,3,QCOM,0,0,0
2023-03-08,116.4658203125,116.99433976968041,114.68808437775903,114.88027660372634,2023,3,8,QCOM,0,0,0
2023-03-13,109.96025848388672,111.69955586103765,108.85517708298428,109.31643106411501,2023,3,13,QCOM,0,0,0
2023-03-23,119.30059051513672,122.03926547889829,117.33066243115229,119.09879418426834,2023,3,23,QCOM,1,1,1
2023-03-28,116.600341796875,118.84894300526561,115.51448330046328,118.77206612108162,2023,3,28,QCOM,0,0,0
2023-04-12,115.57213592529297,119.63691131880054,115.45682793176968,119.55043032365808,2023,4,12,QCOM,0,0,0
2023-04-17,114.7168960571289,115.15892712074005,113.55416073801165,114.47666130529353,2023,4,17,QCOM,0,0,0
2023-04-27,109.47018432617188,109.84495000171721,107.76932528572638,109.43174588106673,2023,4,27,QCOM,0,0,0
2023-05-02,111.57463073730469,112.48751987815822,109.96986432569004,111.59384629198897,2023,5,2,QCOM,1,0,0
2023-05-12,99.57250213623047,100.64874912757114,98.60195169035411,100.38929882255374,2023,5,12,QCOM,0,0,0
2023-05-17,100.71601104736328,101.33101140133336,99.5340602204512,100.12023357835744,2023,5,17,QCOM,1,0,0
2023-05-22,101.16764831542969,101.73460609049712,99.21694348102724,99.62053606785904,2023,5,22,QCOM,0,0,0
2023-06-01,112.07852935791016,112.78488217053871,108.67253008350447,110.84965765899318,2023,6,1,QCOM,1,1,1
2023-06-06,112.59136199951172,113.00743556229958,108.60479687192324,108.93378887571383,2023,6,6,QCOM,0,0,0
2023-06-16,118.7066650390625,120.9321760528762,118.1454481910858,120.55480050301271,2023,6,16,QCOM,1,1,1
2023-06-21,112.01079559326172,115.16520619797672,111.92370665238302,114.76848901616097,2023,6,21,QCOM,0,0,0
2023-06-26,112.85261535644531,113.80087862055005,110.59808439858752,110.84965827122502,2023,6,26,QCOM,0,0,0
2023-07-06,111.48828887939453,112.43654478648453,109.94011069679136,111.43023450451439,2023,7,6,QCOM,0,0,0
2023-07-11,113.08484649658203,114.05245874813465,111.16897099029775,113.98472618581779,2023,7,11,QCOM,1,0,0
2023-07-21,120.68060302734375,122.55777318619525,117.44877421928899,117.98096391864247,2023,7,21,QCOM,1,1,1
2023-07-26,120.0032730102539,121.18376118573931,118.37768406704866,119.20983122739753,2023,7,26,QCOM,0,0,0
2023-07-31,127.88932800292969,128.6634208689886,124.91876563884259,125.77994007662737,2023,7,31,QCOM,1,1,1
2023-08-10,111.86564636230469,114.55560708101969,111.34313489156006,113.86860330901152,2023,8,10,QCOM,0,0,0
2023-08-15,108.06294250488281,109.83367479457398,107.7920122406823,109.66917509219849,2023,8,15,QCOM,0,0,0
2023-08-25,106.74699401855469,106.94051353538568,104.2699087680954,105.36330806455362,2023,8,25,QCOM,0,0,0
2023-08-30,110.37750244140625,110.56265292751668,108.81836197422625,109.68563409142538,2023,8,30,QCOM,1,1,1
2023-09-14,111.12784576416016,111.80996740810211,110.11440258275475,110.86473639109089,2023,9,14,QCOM,0,0,0
2023-09-19,107.89263916015625,109.4712658463276,107.10332581707057,109.33484150146265,2023,9,19,QCOM,0,0,0
2023-09-29,108.22393798828125,109.36406618699344,107.81466501159899,109.02299793852342,2023,9,29,QCOM,0,0,0
2023-10-04,107.04484558105469,108.23369259145889,106.02166306481487,107.97059064001684,2023,10,4,QCOM,0,0,0
2023-10-09,108.94505310058594,109.12045687760032,106.68429743827208,107.50284344129345,2023,10,9,QCOM,1,0,0
2023-10-19,108.4383316040039,111.4786613681179,108.0095651484757,109.51998702803634,2023,10,19,QCOM,0,0,0
2023-10-24,106.59658813476562,107.51258643124004,105.67085055376113,106.50888996658489,2023,10,24,QCOM,0,0,0
2023-11-03,116.46790313720703,117.03309389169154,114.36306532110275,114.93799536011508,2023,11,3,QCOM,1,1,1
2023-11-08,116.9941177368164,118.94304527497863,116.10735957292825,118.29990305336075,2023,11,8,QCOM,0,0,0
2023-11-13,120.68733978271484,121.3694689014193,119.49849276073373,120.83351083919214,2023,11,13,QCOM,1,1,1
2023-11-28,123.35736846923828,124.05898359247051,122.4608635604721,123.95179198005621,2023,11,28,QCOM,1,1,0
2023-12-08,130.3985137939453,131.3791749400448,128.64312196275435,128.68235678827122,2023,12,8,QCOM,1,1,1
